# wavelength[angstrom]  QE
 3600.0   0.285
 3800.0   0.360
 4000.0   0.517
 4200.0   0.647
 4400.0   0.748
 4600.0   0.818
 4800.0   0.864
 5000.0   0.910
 5200.0   0.936
 5400.0   0.948
 5600.0   0.951
 5800.0   0.958
 6000.0   0.954
 6200.0   0.956
 6400.0   0.950
 6600.0   0.938
 6800.0   0.929
 7000.0   0.916
 7200.0   0.908
 7400.0   0.899
 7600.0   0.892
 7800.0   0.882
 8000.0   0.863
 8200.0   0.856
 8400.0   0.829
 8600.0   0.825
 8800.0   0.821
 9000.0   0.780
 9200.0   0.745
 9400.0   0.692
 9600.0   0.609
 9800.0   0.517
10000.0   0.378
10200.0   0.209
10400.0   0.088
10600.0   0.047
