# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity						
# Coated with Aluminum on 2013-08-15												
# Measured with Subaru Portable Spectrophotometer (SPS) on 2017-10-10 (Before 8th Recoating)									
# Measured three times each at around the position 1 and 2
# Contact: Hirofumi Okita (okita14@naoj.org)    						
#
# Wavelength (nm)	Pos.1 #1	Pos.1 #2	Pos.1 #3	Pos.2 #1	Pos.2 #2	Pos.2 #3
1000	85.21 	86.33 	85.47 	82.15 	82.20 	84.06 
998	85.19 	86.60 	85.30 	83.17 	82.61 	84.20 
996	85.08 	86.04 	86.22 	83.97 	82.23 	83.23 
994	85.52 	86.53 	85.81 	83.39 	81.72 	84.06 
992	84.98 	86.79 	85.21 	83.19 	82.08 	83.12 
990	85.83 	85.74 	85.27 	82.48 	81.63 	83.46 
988	85.08 	86.37 	85.63 	82.57 	81.43 	83.68 
986	84.89 	86.43 	85.94 	82.65 	81.92 	83.80 
984	85.30 	86.25 	84.81 	82.22 	82.07 	83.96 
982	85.66 	85.56 	85.14 	82.63 	82.08 	83.41 
980	85.03 	85.23 	86.25 	82.33 	81.44 	83.11 
978	85.12 	85.95 	84.95 	82.38 	81.61 	83.27 
976	85.36 	85.33 	85.44 	81.61 	81.75 	83.03 
974	85.47 	85.35 	85.99 	82.21 	82.00 	83.02 
972	85.30 	86.05 	85.21 	82.20 	81.64 	83.47 
970	85.27 	85.84 	84.71 	81.79 	81.39 	83.56 
968	85.18 	85.49 	84.54 	81.98 	81.59 	83.84 
966	84.76 	84.92 	84.30 	82.06 	81.55 	83.24 
964	84.31 	85.13 	84.14 	81.70 	80.83 	83.09 
962	84.96 	84.61 	85.50 	81.33 	80.35 	82.74 
960	85.05 	85.23 	85.32 	81.30 	81.33 	83.11 
958	84.65 	84.61 	84.77 	81.38 	81.00 	82.53 
956	84.69 	85.13 	84.43 	81.49 	80.76 	82.36 
954	84.17 	84.67 	84.43 	81.41 	80.47 	82.87 
952	83.91 	85.26 	84.54 	81.91 	80.93 	83.39 
950	83.91 	84.37 	83.94 	81.31 	80.48 	82.22 
948	84.28 	84.66 	84.33 	81.37 	80.74 	81.89 
946	83.46 	84.05 	83.92 	81.65 	80.99 	82.05 
944	83.82 	84.17 	83.97 	80.89 	80.17 	81.84 
942	83.38 	84.23 	83.71 	80.74 	80.09 	81.78 
940	83.43 	84.32 	83.87 	81.17 	79.83 	81.83 
938	83.50 	84.36 	83.54 	80.89 	80.14 	81.75 
936	83.44 	83.71 	83.69 	80.83 	79.87 	81.67 
934	82.96 	83.74 	83.40 	80.62 	80.01 	81.75 
932	83.21 	83.63 	83.51 	80.41 	79.75 	81.83 
930	83.13 	83.40 	83.35 	80.23 	79.74 	81.72 
928	83.21 	83.33 	83.23 	80.14 	79.28 	81.08 
926	82.98 	83.15 	82.90 	79.96 	79.33 	80.90 
924	82.48 	83.07 	82.90 	80.03 	78.82 	81.04 
922	83.00 	83.40 	83.16 	80.07 	79.08 	81.08 
920	82.33 	82.62 	82.67 	79.88 	79.11 	80.70 
918	82.42 	82.75 	82.85 	79.67 	78.58 	80.90 
916	82.22 	82.64 	82.26 	79.55 	78.92 	80.42 
914	82.41 	82.79 	82.37 	79.38 	78.74 	80.43 
912	81.77 	82.46 	82.00 	78.93 	78.84 	80.27 
910	82.11 	82.15 	81.72 	79.03 	77.96 	79.90 
908	81.69 	81.86 	81.71 	78.64 	77.97 	79.76 
906	81.59 	82.11 	81.64 	78.59 	77.65 	79.34 
904	81.25 	81.58 	81.69 	78.29 	78.05 	79.71 
902	81.31 	81.27 	81.54 	78.60 	77.69 	79.38 
900	81.26 	81.38 	81.43 	78.48 	77.48 	79.02 
898	80.99 	81.41 	81.19 	78.07 	77.59 	79.33 
896	80.89 	80.95 	80.97 	77.64 	77.30 	78.92 
894	80.82 	81.18 	80.73 	77.55 	77.06 	78.64 
892	80.64 	81.21 	80.64 	77.31 	76.76 	78.71 
890	80.07 	80.85 	80.54 	77.61 	77.02 	78.43 
888	80.07 	80.51 	80.41 	77.42 	76.54 	78.19 
886	80.06 	80.60 	80.15 	76.86 	76.61 	78.08 
884	79.69 	80.21 	79.85 	76.81 	76.28 	77.86 
882	79.55 	79.97 	79.87 	76.55 	76.21 	77.54 
880	79.59 	79.90 	79.65 	76.76 	76.06 	77.43 
878	79.38 	79.75 	79.48 	76.43 	75.98 	77.47 
876	79.16 	79.86 	79.63 	76.40 	75.82 	77.36 
874	79.02 	79.34 	79.29 	76.16 	75.43 	77.19 
872	78.65 	79.32 	79.15 	75.78 	75.34 	77.28 
870	79.04 	79.25 	78.86 	75.75 	74.84 	77.02 
868	78.54 	78.58 	79.04 	75.64 	74.80 	76.59 
