# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity						
# Coated with Aluminum on 2017-10-20												
# Measured with Subaru Portable Spectrophotometer (SPS) on 2017-10-23 (After 8th Recoating)				
# Measured three times at around the position 1 and two times each at around the position 2 and 3
# Contact: Hirofumi Okita (okita14@naoj.org)    						
#
# Wavelength (nm)	Pos.1 #1	Pos.1 #2	Pos.1 #3	Pos.2 #1	Pos.2 #2	Pos.3 #1	Pos.3 #2
1000	92.22 	93.44 	93.77 	92.55 	93.30 	93.26 	92.57 
998	92.83 	93.24 	92.94 	93.05 	94.02 	93.07 	94.31 
996	92.90 	93.29 	92.99 	93.25 	94.00 	93.64 	93.45 
994	93.27 	93.07 	93.36 	93.22 	93.19 	92.68 	93.13 
992	92.63 	93.54 	93.29 	93.73 	92.19 	93.23 	93.47 
990	92.97 	92.74 	93.64 	93.42 	92.85 	94.24 	93.01 
988	92.87 	93.10 	92.73 	93.85 	93.01 	93.51 	93.78 
986	92.55 	93.54 	92.98 	93.16 	93.44 	93.51 	93.65 
984	92.56 	93.04 	93.44 	93.15 	93.48 	93.20 	93.47 
982	92.95 	92.80 	93.01 	92.27 	92.65 	93.28 	92.65 
980	92.81 	92.85 	93.66 	93.20 	93.01 	93.04 	93.11 
978	91.89 	93.28 	92.92 	92.69 	92.87 	92.85 	92.81 
976	92.56 	92.43 	93.07 	92.83 	92.58 	92.83 	93.14 
974	93.01 	92.30 	93.41 	92.99 	92.57 	93.09 	93.45 
972	92.38 	92.91 	92.92 	93.05 	92.74 	93.15 	92.24 
970	92.55 	92.38 	92.62 	93.03 	92.81 	92.51 	93.23 
968	93.06 	92.57 	93.04 	92.89 	92.94 	92.50 	92.97 
966	93.20 	92.69 	92.07 	92.85 	92.23 	92.60 	92.58 
964	92.66 	91.96 	92.42 	92.60 	93.14 	92.63 	92.75 
962	92.41 	92.42 	92.79 	92.25 	92.26 	92.40 	92.83 
960	91.93 	92.11 	92.24 	92.47 	92.32 	92.51 	92.11 
958	92.08 	91.63 	92.80 	92.43 	92.34 	92.74 	92.03 
956	92.56 	91.83 	92.02 	92.32 	91.62 	92.42 	92.06 
954	92.02 	92.21 	92.34 	92.32 	92.22 	92.06 	92.28 
952	91.79 	92.03 	92.33 	92.07 	92.27 	92.22 	92.21 
950	91.69 	91.86 	91.95 	92.10 	92.07 	92.13 	91.89 
948	91.53 	92.07 	91.76 	92.03 	91.95 	91.87 	91.78 
946	91.84 	91.45 	92.07 	92.07 	92.02 	91.65 	92.11 
944	91.41 	91.41 	91.55 	91.81 	91.38 	91.72 	91.53 
942	91.85 	91.33 	91.83 	92.37 	92.00 	91.69 	91.53 
940	91.78 	91.52 	91.97 	91.47 	92.12 	91.48 	91.79 
938	91.70 	91.59 	91.71 	91.25 	91.69 	91.40 	91.72 
936	91.49 	91.59 	91.53 	91.52 	91.83 	91.12 	91.23 
934	91.04 	91.66 	91.15 	91.14 	91.19 	91.51 	91.53 
932	91.39 	91.45 	91.42 	91.11 	91.17 	90.62 	91.49 
930	91.54 	91.08 	91.05 	90.85 	91.19 	90.99 	91.29 
928	91.40 	91.37 	90.81 	90.99 	91.17 	90.77 	91.09 
926	90.90 	91.39 	90.73 	91.01 	91.17 	91.34 	91.16 
924	90.72 	91.14 	90.79 	91.10 	90.67 	91.35 	90.73 
922	90.62 	90.67 	90.30 	90.81 	91.05 	90.80 	90.49 
920	90.67 	90.78 	90.63 	90.52 	90.96 	90.12 	90.91 
918	90.91 	91.00 	90.51 	90.75 	90.60 	90.49 	90.62 
916	90.49 	90.38 	90.59 	90.99 	90.67 	90.70 	90.70 
914	90.92 	90.18 	90.37 	90.13 	90.86 	90.37 	90.35 
912	90.53 	90.12 	90.07 	90.12 	90.16 	90.33 	90.11 
910	89.41 	89.68 	90.25 	90.15 	89.86 	89.91 	90.36 
908	89.79 	89.78 	90.34 	90.17 	90.28 	90.17 	90.10 
906	89.52 	90.10 	89.98 	89.91 	89.54 	89.91 	90.07 
904	89.67 	89.84 	89.83 	89.84 	89.40 	89.75 	89.74 
902	89.21 	89.80 	89.61 	89.66 	89.60 	89.35 	89.41 
900	89.62 	89.75 	89.65 	89.88 	89.45 	89.60 	89.16 
898	89.25 	89.29 	89.36 	89.32 	89.21 	89.26 	89.38 
896	89.45 	89.36 	89.34 	89.20 	89.36 	89.18 	89.26 
