# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity						
# Coated with Aluminum on 2017-10-20												
# Opened the vacuum chamber on 2017-11-21
# Measured with Subaru Portable Spectrophotometer (SPS) on 2018-01-29 (101 days after)						
# Measured three times at around the position 3
# Contact: Hirofumi Okita (okita14@naoj.org)    						
#
# Wavelength (nm)	Pos.3 #1	Pos.3 #2	Pos.3 #3
1000	93.34 	92.13 	92.49 
998	92.88 	91.84 	93.62 
996	93.10 	92.51 	92.08 
994	92.76 	92.44 	91.81 
992	92.67 	92.50 	92.53 
990	92.31 	92.34 	92.14 
988	92.90 	92.32 	92.55 
986	92.48 	91.95 	92.72 
984	92.42 	92.44 	92.27 
982	92.62 	92.39 	92.32 
980	92.21 	92.31 	92.34 
978	92.06 	91.62 	92.13 
976	92.30 	92.23 	92.42 
974	93.02 	92.79 	92.14 
972	92.19 	91.92 	92.33 
970	92.19 	92.11 	92.46 
968	92.18 	91.92 	91.94 
966	92.00 	92.63 	92.23 
964	92.03 	91.33 	91.89 
962	92.08 	91.70 	92.52 
960	92.12 	91.66 	91.75 
958	91.67 	91.66 	91.95 
956	91.85 	92.22 	91.62 
954	91.73 	91.67 	91.92 
952	91.14 	91.30 	91.78 
950	90.88 	91.54 	91.44 
948	91.28 	91.09 	91.23 
946	91.55 	91.21 	91.42 
944	91.31 	90.83 	90.73 
942	91.14 	91.21 	91.23 
940	91.26 	91.03 	91.26 
938	91.07 	91.07 	91.25 
936	90.82 	90.70 	90.94 
934	90.87 	91.07 	91.03 
932	90.98 	90.69 	91.04 
930	90.67 	90.32 	90.58 
928	90.39 	90.50 	90.55 
926	90.30 	90.63 	90.31 
924	90.29 	90.10 	90.56 
922	89.95 	90.27 	90.22 
920	90.13 	89.40 	90.05 
918	90.09 	90.41 	90.05 
916	89.61 	90.13 	90.23 
914	89.99 	89.95 	89.59 
912	89.39 	89.89 	89.53 
910	89.47 	89.70 	89.50 
908	88.79 	89.49 	89.31 
906	88.88 	89.45 	89.17 
904	89.31 	89.22 	89.08 
902	88.80 	89.04 	89.37 
900	88.75 	88.96 	89.02 
