# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity						
# Coated with Aluminum on 2017-10-20												
# Opened the vacuum chamber on 2017-11-21
# Measured with Subaru Portable Spectrophotometer (SPS) on 2018-03-07 (138 days after)					
# Measured three times at around the position 3
# Contact: Hirofumi Okita (okita14@naoj.org)    						
#
# Wavelength (nm)	Pos.3 #1	Pos.3 #2	Pos.3 #3
1000	92.64 	93.20 	93.09 
998	93.13 	92.48 	92.98 
996	92.47 	92.20 	92.35 
994	92.12 	91.76 	92.25 
992	92.86 	92.97 	92.80 
990	91.93 	92.24 	91.84 
988	92.50 	91.59 	92.44 
986	92.93 	92.78 	92.81 
984	92.78 	92.33 	92.37 
982	92.34 	92.78 	91.52 
980	92.70 	92.38 	91.76 
978	92.11 	92.72 	92.50 
976	92.10 	92.17 	92.70 
974	91.73 	92.82 	92.26 
972	92.73 	92.40 	92.78 
970	92.64 	92.00 	91.44 
968	92.33 	91.72 	91.89 
966	92.10 	91.66 	92.03 
964	92.13 	92.54 	92.28 
962	91.53 	92.08 	91.44 
960	91.65 	92.29 	91.33 
958	91.92 	91.65 	92.00 
956	91.50 	91.37 	91.42 
954	91.13 	91.86 	91.58 
952	91.82 	91.36 	91.47 
950	91.08 	91.50 	91.98 
948	91.27 	91.28 	91.52 
946	91.20 	92.03 	90.99 
944	91.33 	91.02 	90.59 
942	91.12 	90.76 	90.97 
940	91.20 	90.80 	90.68 
938	91.26 	90.72 	90.56 
936	90.79 	91.04 	90.99 
934	90.76 	90.54 	90.72 
932	90.69 	90.46 	90.65 
930	90.57 	90.80 	90.14 
928	90.34 	90.22 	90.30 
926	90.38 	90.54 	90.48 
924	90.15 	90.10 	90.15 
922	89.84 	90.40 	90.07 
920	90.06 	89.80 	89.77 
918	89.80 	89.86 	89.68 
916	89.63 	89.91 	89.83 
914	89.67 	89.91 	89.43 
912	90.03 	89.27 	89.83 
910	89.44 	89.26 	89.39 
908	89.35 	89.21 	89.27 
906	88.86 	89.11 	89.39 
904	88.86 	88.92 	88.93 
902	88.51 	88.92 	89.33 
900	88.79 	88.92 	88.92 
898	88.75 	88.56 	88.65 
896	88.88 	88.39 	88.39 
894	88.42 	88.24 	88.34 
892	88.18 	88.38 	87.89 
890	88.07 	88.30 	88.11 
888	87.97 	87.99 	87.93 
886	87.36 	88.10 	87.90 
884	87.43 	87.48 	87.57 
882	87.37 	87.70 	87.52 
880	87.46 	87.16 	87.44 
878	87.09 	86.79 	87.09 
876	87.01 	87.00 	87.35 
874	87.05 	87.13 	86.96 
872	86.78 	86.86 	86.68 
870	86.77 	86.93 	86.72 
868	86.67 	86.56 	86.29 
866	86.47 	86.48 	86.26 
864	86.43 	86.18 	86.27 
862	86.24 	86.00 	86.00 
860	85.96 	86.03 	86.05 
858	86.02 	85.75 	86.05 
856	86.03 	85.94 	85.48 
854	85.61 	85.78 	85.46 
852	85.42 	85.56 	85.44 
850	85.44 	85.59 	85.28 
848	85.37 	85.21 	85.22 
846	85.36 	85.05 	85.20 
844	84.89 	85.13 	85.08 
842	84.88 	85.15 	84.84 
840	85.02 	85.05 	84.98 
838	84.72 	84.94 	84.91 
836	84.76 	85.10 	84.96 
834	85.08 	85.16 	84.74 
832	84.50 	84.59 	84.75 
830	84.59 	84.75 	84.70 
828	84.47 	84.95 	84.94 
826	84.51 	84.66 	84.99 
824	84.24 	84.99 	84.74 
822	84.80 	84.82 	84.62 
820	84.63 	84.78 	84.63 
818	84.43 	84.61 	84.53 
816	84.81 	84.52 	84.72 
814	84.55 	84.45 	84.71 
812	84.38 	84.46 	84.52 
810	84.54 	85.12 	84.66 
808	84.57 	84.83 	84.69 
806	85.10 	85.02 	84.50 
804	84.72 	85.01 	85.10 
802	84.90 	85.14 	84.87 
800	85.19 	85.07 	84.88 
798	84.98 	85.03 	85.20 
796	85.16 	85.19 	85.24 
794	85.03 	85.32 	85.39 
792	85.36 	85.41 	85.26 
790	85.33 	85.42 	85.34 
788	85.30 	85.79 	85.55 
786	85.84 	85.49 	85.55 
784	85.52 	85.56 	85.76 
782	85.77 	85.96 	85.68 
780	86.00 	85.87 	85.82 
778	85.69 	85.84 	86.08 
776	85.76 	86.14 	86.04 
774	85.94 	85.78 	85.90 
772	85.85 	86.18 	86.02 
770	86.27 	86.20 	86.03 
768	86.32 	86.07 	86.17 
766	86.23 	86.49 	86.25 
764	86.52 	86.50 	86.42 
762	86.23 	86.83 	86.43 
760	86.57 	86.62 	86.59 
758	86.55 	86.60 	86.78 
756	86.67 	87.02 	86.58 
754	86.74 	86.64 	86.55 
752	86.78 	86.59 	86.69 
750	86.90 	86.86 	86.98 
748	86.78 	86.77 	86.88 
746	87.00 	86.92 	87.21 
744	86.93 	86.97 	86.98 
742	87.08 	87.14 	87.15 
740	87.16 	87.31 	87.15 
738	87.14 	87.31 	87.35 
736	87.38 	87.44 	87.33 
