# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity						
# Coated with Aluminum on 2017-10-20												
# Opened the vacuum chamber on 2017-11-21
# Measured with Subaru Portable Spectrophotometer (SPS) on 2018-04-18 (180 days after, pre CO2 cleaning)						
# Measured three times at around the position 3
# Contact: Hirofumi Okita (okita14@naoj.org)    						
#
# Wavelength (nm)	Pos.3 #1	Pos.3 #2	Pos.3 #3
1000	92.72 	92.63 	92.21 
998	92.42 	92.05 	91.21 
996	92.35 	91.72 	91.67 
994	92.43 	92.66 	92.10 
992	92.09 	91.79 	91.45 
990	92.30 	92.18 	91.79 
988	92.29 	91.79 	92.19 
986	91.78 	91.24 	92.04 
984	92.00 	91.78 	91.72 
982	92.40 	91.99 	90.91 
980	91.98 	92.11 	91.65 
978	91.58 	91.77 	91.73 
976	92.43 	91.42 	92.27 
974	92.38 	91.67 	91.56 
972	91.62 	91.24 	92.07 
970	91.63 	91.54 	91.54 
968	91.19 	91.89 	91.66 
966	91.79 	91.78 	91.42 
964	91.61 	91.66 	90.93 
962	91.50 	90.76 	90.90 
960	91.71 	91.08 	91.01 
958	91.76 	91.37 	91.08 
956	91.74 	90.82 	91.28 
954	91.01 	91.29 	90.93 
952	90.47 	90.95 	91.15 
950	90.83 	90.84 	90.78 
948	90.71 	90.95 	91.38 
946	91.02 	90.35 	90.58 
944	90.98 	90.93 	90.82 
942	90.39 	90.93 	90.64 
940	90.55 	90.34 	90.82 
938	90.36 	90.58 	90.05 
936	90.39 	90.17 	90.47 
934	90.82 	90.55 	90.16 
932	90.08 	90.29 	90.35 
930	90.08 	90.15 	90.07 
928	90.09 	90.07 	90.13 
926	90.11 	90.10 	89.73 
924	90.09 	89.79 	89.64 
922	90.21 	89.48 	89.73 
920	90.04 	89.69 	89.28 
918	89.92 	89.61 	89.10 
916	89.63 	89.65 	89.49 
914	89.29 	89.33 	89.47 
912	89.08 	89.29 	89.21 
910	88.90 	88.99 	89.04 
908	89.24 	89.02 	88.87 
906	88.95 	88.77 	88.62 
904	88.80 	88.39 	88.60 
902	88.29 	88.15 	88.62 
900	88.62 	88.37 	88.23 
898	88.40 	88.44 	88.01 
896	88.41 	88.43 	88.02 
894	88.55 	88.16 	87.81 
892	87.90 	88.10 	87.80 
890	87.47 	87.56 	87.76 
888	87.51 	87.74 	87.65 
886	87.52 	87.57 	87.63 
884	87.30 	87.03 	87.05 
882	87.28 	87.20 	86.99 
880	87.12 	87.25 	86.95 
878	86.92 	86.74 	87.19 
876	86.81 	86.70 	86.64 
874	86.58 	86.51 	86.46 
872	86.69 	86.41 	85.98 
870	86.27 	86.23 	85.82 
868	85.81 	86.15 	86.04 
866	86.16 	85.98 	85.66 
864	85.92 	85.90 	85.78 
862	85.91 	85.83 	85.12 
860	85.63 	85.40 	85.49 
858	85.44 	85.41 	85.45 
856	85.69 	85.27 	85.31 
854	85.55 	85.13 	85.06 
852	85.36 	85.10 	84.98 
850	85.05 	85.56 	84.62 
848	84.87 	84.83 	84.94 
846	84.96 	84.75 	84.68 
844	84.89 	84.61 	84.67 
842	84.63 	84.77 	84.64 
840	84.51 	84.58 	84.60 
838	84.42 	84.63 	84.71 
836	84.60 	84.41 	84.37 
834	84.56 	84.84 	84.65 
832	84.45 	84.51 	84.40 
830	84.62 	84.19 	84.16 
828	84.60 	84.72 	84.40 
826	84.27 	84.36 	84.50 
824	84.39 	83.88 	84.15 
822	84.39 	84.35 	84.23 
820	84.74 	84.14 	84.51 
818	84.70 	84.08 	83.96 
816	84.73 	84.42 	84.07 
814	84.93 	84.59 	84.34 
812	84.36 	84.38 	84.22 
810	84.74 	84.51 	84.26 
808	84.60 	84.59 	84.54 
806	84.57 	84.44 	84.58 
804	84.63 	84.70 	84.65 
802	84.92 	84.68 	84.40 
800	84.88 	84.64 	84.39 
798	84.83 	84.75 	84.72 
796	85.05 	84.78 	85.13 
794	84.79 	84.96 	84.91 
792	84.85 	84.94 	85.00 
790	85.15 	85.06 	85.04 
788	85.11 	84.98 	85.17 
786	85.42 	85.21 	84.99 
784	85.47 	85.62 	85.07 
782	85.33 	85.46 	85.08 
780	85.53 	85.46 	85.35 
778	85.66 	85.56 	85.35 
776	85.61 	85.74 	85.58 
774	85.56 	85.73 	85.54 
772	85.75 	85.68 	85.74 
770	85.84 	85.70 	85.60 
768	85.95 	85.85 	85.54 
766	85.96 	86.03 	85.96 
764	85.81 	86.01 	85.69 
762	86.03 	86.32 	85.97 
760	85.95 	85.91 	85.87 
758	86.30 	86.27 	86.28 
756	86.31 	86.47 	86.36 
754	86.33 	86.49 	86.29 
752	86.53 	86.53 	86.30 
750	86.36 	86.51 	86.33 
748	86.81 	86.39 	86.45 
746	86.50 	86.54 	86.48 
744	86.75 	86.68 	86.60 
742	86.73 	86.75 	86.49 
740	86.89 	86.74 	86.65 
738	86.82 	86.90 	86.77 
736	86.94 	86.85 	86.88 
734	86.97 	87.09 	87.16 
732	87.29 	87.16 	87.00 
730	87.17 	86.94 	87.17 
728	87.24 	86.95 	87.16 
726	87.04 	87.29 	87.09 
724	87.07 	87.22 	86.94 
722	87.32 	87.26 	87.25 
720	87.33 	87.31 	87.24 
718	87.53 	87.09 	87.06 
716	87.45 	87.44 	87.22 
714	87.58 	87.52 	87.52 
712	87.40 	87.46 	87.39 
710	87.41 	87.61 	87.42 
708	87.56 	87.57 	87.58 
706	87.74 	87.68 	87.58 
704	87.80 	87.74 	87.61 
702	87.67 	87.81 	87.77 
700	87.71 	87.75 	87.53 
698	87.92 	87.84 	87.87 
696	87.50 	87.94 	87.67 
694	87.73 	87.99 	87.71 
692	87.96 	87.89 	87.71 
690	88.05 	87.93 	87.87 
688	88.07 	88.17 	87.78 
686	88.21 	87.97 	87.93 
684	88.06 	88.12 	87.93 
682	87.97 	87.93 	87.99 
680	88.12 	88.13 	88.00 
678	88.32 	88.08 	88.02 
676	88.36 	88.17 	87.96 
674	88.23 	88.13 	88.03 
672	88.52 	88.37 	88.12 
670	88.28 	88.35 	88.42 
668	88.36 	88.39 	88.41 
666	88.51 	88.31 	88.56 
664	88.46 	88.41 	88.51 
662	88.44 	88.50 	88.42 
660	88.60 	88.28 	88.47 
658	88.47 	88.51 	88.40 
656	88.62 	88.47 	88.57 
654	88.65 	88.63 	88.58 
652	88.60 	88.60 	88.52 
650	88.60 	88.80 	88.62 
648	88.81 	88.63 	88.77 
646	88.74 	88.50 	88.63 
644	88.77 	88.72 	88.76 
642	88.70 	88.80 	88.57 
640	88.89 	88.97 	88.72 
638	88.91 	88.88 	88.87 
636	89.00 	88.98 	88.76 
634	88.90 	89.05 	88.71 
632	89.10 	89.10 	88.78 
630	89.12 	88.98 	88.84 
628	89.11 	88.82 	88.72 
626	89.00 	88.87 	88.87 
624	88.97 	88.90 	88.89 
622	89.05 	88.95 	89.02 
620	88.93 	89.09 	89.00 
618	89.16 	89.09 	89.04 
616	89.13 	89.11 	89.00 
614	89.06 	89.17 	88.87 
612	89.07 	89.05 	89.11 
610	89.24 	89.13 	89.15 
608	89.24 	89.17 	89.00 
606	89.15 	89.22 	89.21 
604	89.10 	89.28 	89.10 
602	89.03 	89.26 	89.11 
600	89.21 	89.34 	89.09 
598	89.22 	89.39 	89.15 
596	89.16 	89.16 	89.15 
594	89.13 	89.39 	89.22 
592	89.35 	89.35 	89.19 
590	89.36 	89.29 	89.19 
588	89.48 	89.36 	89.13 
586	89.29 	89.43 	89.29 
584	89.35 	89.52 	89.43 
582	89.38 	89.32 	89.30 
580	89.42 	89.32 	89.55 
578	89.48 	89.34 	89.39 
576	89.46 	89.47 	89.40 
574	89.33 	89.41 	89.24 
572	89.56 	89.50 	89.38 
570	89.35 	89.57 	89.30 
568	89.47 	89.53 	89.39 
566	89.63 	89.55 	89.33 
564	89.54 	89.59 	89.36 
562	89.50 	89.51 	89.36 
560	89.54 	89.39 	89.43 
558	89.72 	89.48 	89.43 
556	89.57 	89.45 	89.27 
554	89.66 	89.49 	89.45 
552	89.45 	89.49 	89.57 
550	89.76 	89.52 	89.33 
548	89.59 	89.49 	89.50 
546	89.59 	89.55 	89.46 
544	89.55 	89.79 	89.70 
542	89.45 	89.72 	89.47 
540	89.70 	89.73 	89.45 
538	89.80 	89.74 	89.60 
536	89.71 	89.73 	89.60 
534	89.58 	89.69 	89.44 
532	89.80 	89.81 	89.68 
530	89.69 	90.05 	89.67 
528	89.89 	89.59 	89.53 
526	89.66 	89.71 	89.72 
524	89.78 	89.72 	89.49 
522	89.80 	89.82 	89.62 
520	89.79 	89.78 	89.85 
518	90.08 	89.79 	89.82 
516	89.85 	89.87 	89.78 
514	89.76 	90.12 	89.62 
512	89.89 	90.08 	89.84 
510	89.67 	89.84 	89.81 
508	89.74 	89.97 	89.83 
506	89.71 	89.78 	89.64 
504	89.73 	89.85 	89.65 
502	89.95 	89.93 	89.77 
500	89.99 	89.91 	89.69 
498	89.83 	89.84 	89.75 
496	89.95 	89.87 	89.80 
494	90.01 	89.89 	89.67 
492	89.70 	89.94 	89.67 
490	89.90 	90.07 	89.73 
488	89.95 	89.77 	89.74 
486	90.00 	89.83 	89.86 
484	89.89 	89.97 	89.67 
482	89.76 	89.97 	89.53 
480	89.93 	89.93 	89.78 
478	89.97 	89.91 	89.75 
476	89.89 	89.97 	89.65 
474	89.93 	90.05 	89.73 
472	90.00 	89.86 	89.77 
470	89.91 	89.97 	89.59 
468	90.00 	89.86 	89.92 
466	89.93 	89.99 	89.59 
464	89.92 	89.92 	89.87 
462	90.10 	90.00 	89.74 
460	89.92 	89.87 	89.77 
458	89.89 	90.03 	89.55 
456	90.03 	89.67 	89.86 
454	90.24 	90.10 	89.92 
452	89.69 	90.03 	89.93 
450	90.00 	90.02 	89.93 
448	90.13 	89.86 	89.74 
446	89.83 	89.87 	89.76 
444	89.75 	89.73 	89.82 
442	89.73 	89.87 	90.06 
440	89.93 	89.94 	89.72 
438	89.92 	89.72 	89.81 
436	89.62 	89.22 	89.28 
434	90.01 	89.84 	89.74 
432	89.93 	89.97 	89.75 
430	90.24 	90.12 	89.66 
428	90.33 	89.98 	89.72 
426	89.98 	90.10 	90.07 
424	90.11 	90.53 	89.73 
422	89.60 	90.49 	89.68 
420	90.17 	89.89 	90.09 
418	90.09 	90.05 	89.36 
416	90.03 	90.02 	89.67 
414	90.52 	90.17 	89.90 
412	90.29 	90.34 	90.19 
410	90.15 	90.06 	90.19 
408	89.89 	90.18 	89.69 
406	89.78 	89.87 	89.30 
404	89.99 	90.22 	89.75 
402	90.47 	89.93 	90.23 
400	90.12 	90.01 	89.80 
398	89.69 	90.16 	89.16 
396	90.04 	89.80 	90.19 
394	89.58 	90.04 	89.52 
392	89.89 	90.28 	90.45 
390	90.23 	89.78 	89.98 
388	89.52 	89.85 	89.91 
386	89.58 	90.58 	89.08 
384	89.58 	89.67 	89.80 
382	90.05 	90.07 	89.25 
380	90.37 	89.30 	89.47 
