# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity						
# Coated with Aluminum on 2017-10-20												
# Opened the vacuum chamber on 2017-11-21
# Measured with Subaru Portable Spectrophotometer (SPS) on 2018-04-19 (181 days after, post CO2 cleaning) 
# Measured three times at around the position 3
# Contact: Hirofumi Okita (okita14@naoj.org)    						
#
# Wavelength (nm)	Pos.3 #1	Pos.3 #2	Pos.3 #3
1000	92.41 	92.01 	92.34 
998	92.00 	92.37 	92.34 
996	91.14 	92.33 	92.51 
994	92.28 	91.82 	91.77 
992	92.83 	92.65 	92.13 
990	92.55 	92.32 	91.69 
988	92.14 	92.60 	91.85 
986	92.59 	91.86 	92.13 
984	91.68 	92.00 	91.91 
982	91.70 	92.69 	92.69 
980	92.23 	92.21 	91.77 
978	91.94 	92.22 	92.33 
976	91.87 	91.87 	92.13 
974	91.89 	92.24 	91.75 
972	91.35 	91.87 	91.53 
970	91.64 	92.10 	91.96 
968	91.59 	91.51 	91.23 
966	91.71 	91.41 	91.61 
964	91.97 	91.65 	91.03 
962	90.99 	91.87 	91.41 
960	91.63 	91.52 	91.36 
958	91.52 	91.81 	91.37 
956	90.85 	91.36 	91.38 
954	91.35 	90.92 	91.06 
952	91.21 	91.01 	91.37 
950	90.98 	91.52 	90.89 
948	90.99 	90.28 	90.89 
946	91.16 	90.76 	90.86 
944	91.17 	91.34 	90.82 
942	91.12 	90.97 	90.65 
940	91.02 	91.04 	90.59 
938	90.92 	91.11 	90.59 
936	91.04 	90.52 	90.88 
934	90.17 	90.16 	90.55 
932	90.45 	90.65 	89.84 
930	90.67 	90.08 	89.67 
928	90.44 	90.58 	89.89 
926	90.66 	90.47 	89.81 
924	90.37 	89.87 	90.19 
922	89.57 	90.09 	90.02 
920	89.98 	89.81 	89.80 
918	89.73 	89.50 	89.56 
916	89.25 	89.15 	89.66 
914	88.85 	89.33 	89.23 
912	89.28 	89.71 	89.07 
910	88.98 	89.30 	89.40 
908	89.10 	89.54 	89.12 
906	88.94 	89.08 	89.11 
904	88.75 	88.79 	88.94 
902	88.53 	88.61 	88.74 
900	88.87 	88.91 	88.24 
898	88.82 	88.29 	88.92 
896	88.36 	87.96 	88.23 
894	88.10 	88.09 	88.17 
892	88.26 	87.88 	87.95 
890	87.99 	87.88 	87.87 
888	87.71 	87.73 	87.90 
886	87.95 	87.61 	87.89 
884	87.47 	87.46 	87.66 
882	87.57 	87.21 	87.24 
880	87.19 	87.04 	87.06 
878	86.93 	86.93 	86.89 
876	86.95 	86.83 	86.56 
874	86.76 	86.60 	86.46 
872	86.47 	86.58 	86.70 
870	86.81 	86.50 	86.34 
868	86.63 	86.08 	86.43 
866	86.25 	86.26 	86.11 
864	86.19 	85.87 	85.84 
862	85.93 	85.73 	85.79 
860	85.93 	85.58 	85.77 
858	85.72 	85.52 	85.80 
856	85.67 	85.54 	85.50 
854	85.56 	85.48 	85.59 
852	85.37 	85.18 	85.50 
850	85.18 	85.20 	84.96 
848	85.38 	84.90 	85.36 
846	85.15 	84.90 	85.03 
844	85.30 	84.93 	84.78 
842	85.13 	84.84 	84.81 
840	84.73 	84.76 	84.74 
838	84.63 	84.72 	84.70 
836	84.63 	84.71 	84.68 
834	84.85 	84.64 	84.69 
832	84.65 	84.52 	84.66 
830	84.78 	84.54 	84.41 
828	84.94 	84.68 	84.73 
826	84.62 	84.30 	84.31 
824	84.62 	84.50 	84.44 
822	84.30 	84.63 	84.21 
820	84.40 	84.58 	84.43 
818	84.47 	84.33 	84.48 
816	84.55 	84.44 	84.63 
814	84.55 	84.56 	84.39 
812	84.52 	84.49 	84.90 
810	84.50 	84.56 	84.35 
808	84.61 	84.41 	84.69 
806	84.63 	84.81 	84.83 
804	84.78 	84.46 	84.65 
802	84.61 	84.82 	84.76 
800	84.90 	84.81 	84.83 
798	84.87 	84.81 	85.18 
796	84.96 	85.08 	84.96 
794	85.04 	85.07 	84.72 
792	84.95 	84.74 	85.20 
790	85.19 	85.10 	85.03 
788	85.55 	85.19 	85.15 
786	85.35 	85.43 	85.31 
784	85.32 	85.57 	85.49 
782	85.72 	85.72 	85.63 
780	85.61 	85.47 	85.53 
778	85.74 	85.49 	85.72 
776	85.60 	85.72 	85.61 
774	85.87 	85.68 	85.87 
772	85.89 	85.83 	85.53 
770	85.83 	85.80 	85.58 
768	86.06 	86.03 	85.93 
766	86.04 	86.02 	85.98 
764	86.51 	86.12 	85.99 
762	86.42 	86.39 	86.21 
760	86.58 	86.40 	86.43 
758	86.40 	86.38 	86.56 
756	86.48 	86.41 	86.49 
754	86.50 	86.45 	86.64 
752	86.73 	86.59 	86.39 
750	86.70 	86.68 	86.38 
748	86.62 	86.54 	86.60 
746	86.65 	86.72 	86.80 
744	86.68 	86.81 	86.81 
742	86.74 	86.83 	86.68 
740	87.19 	86.83 	86.93 
738	86.96 	86.75 	86.82 
736	87.22 	87.13 	87.12 
734	87.00 	87.21 	86.81 
732	87.27 	87.04 	86.76 
730	87.22 	87.08 	87.23 
728	87.52 	87.31 	87.22 
726	87.07 	87.33 	87.28 
724	87.58 	87.16 	87.39 
722	87.38 	87.54 	87.52 
720	87.69 	87.59 	87.32 
718	87.43 	87.10 	87.48 
716	87.76 	87.46 	87.43 
714	87.78 	87.56 	87.49 
712	87.68 	87.63 	87.54 
710	87.55 	87.68 	87.52 
708	88.15 	87.79 	87.88 
706	87.90 	87.75 	87.64 
704	87.78 	87.92 	87.78 
702	87.70 	87.81 	87.65 
700	88.21 	87.94 	87.79 
698	88.06 	88.02 	87.88 
696	88.20 	88.19 	87.71 
694	88.17 	88.14 	87.80 
692	88.15 	88.32 	88.06 
690	88.20 	88.03 	88.09 
688	88.25 	88.02 	88.10 
686	88.25 	88.25 	88.22 
684	88.31 	88.35 	88.18 
682	88.44 	88.17 	88.04 
680	88.49 	88.26 	88.21 
678	88.36 	88.41 	88.40 
676	88.53 	88.40 	88.36 
674	88.20 	88.51 	88.19 
672	88.44 	88.57 	88.42 
670	88.46 	88.54 	88.38 
668	88.42 	88.44 	88.37 
666	88.63 	88.56 	88.41 
664	88.58 	88.50 	88.57 
662	88.76 	88.67 	88.75 
660	88.84 	88.60 	88.44 
658	88.90 	88.78 	88.77 
656	88.91 	88.76 	88.64 
654	88.88 	88.80 	88.57 
652	89.00 	88.83 	88.72 
650	88.81 	88.80 	88.92 
648	88.92 	88.86 	88.92 
646	89.04 	89.07 	88.90 
644	89.16 	89.02 	88.83 
642	89.23 	88.87 	88.92 
640	89.01 	88.99 	88.97 
638	89.13 	89.04 	88.86 
636	89.13 	89.28 	89.11 
634	89.22 	89.11 	88.97 
632	89.23 	89.09 	89.11 
630	89.27 	89.28 	89.14 
628	89.19 	89.39 	88.93 
626	89.30 	89.37 	88.92 
624	89.32 	89.21 	89.24 
622	89.15 	89.21 	89.15 
620	89.39 	89.22 	89.09 
618	89.47 	89.23 	89.12 
616	89.26 	89.20 	89.33 
614	89.39 	89.29 	89.31 
612	89.35 	89.45 	89.29 
610	89.38 	89.29 	89.24 
608	89.56 	89.39 	89.43 
606	89.39 	89.18 	89.19 
604	89.51 	89.33 	89.06 
602	89.48 	89.47 	89.38 
600	89.50 	89.47 	89.36 
598	89.62 	89.45 	89.41 
596	89.51 	89.42 	89.20 
594	89.52 	89.50 	89.41 
592	89.56 	89.54 	89.56 
590	89.70 	89.48 	89.49 
588	89.44 	89.47 	89.47 
586	89.76 	89.71 	89.55 
584	89.74 	89.54 	89.42 
582	89.77 	89.61 	89.68 
580	89.77 	89.67 	89.53 
578	89.85 	89.64 	89.55 
576	89.55 	89.42 	89.63 
574	89.72 	89.55 	89.69 
572	89.70 	89.63 	89.54 
570	89.90 	89.73 	89.59 
568	89.73 	89.72 	89.66 
566	89.64 	89.77 	89.65 
564	89.69 	89.78 	89.64 
562	89.70 	89.72 	89.64 
560	89.99 	89.75 	89.66 
558	89.85 	89.89 	89.82 
556	90.01 	89.79 	89.91 
554	89.78 	89.58 	89.67 
552	89.72 	89.71 	89.61 
550	89.92 	89.84 	89.93 
548	89.88 	89.70 	89.48 
546	89.95 	89.82 	89.73 
544	89.99 	89.78 	89.96 
542	89.95 	90.01 	89.92 
540	90.02 	89.82 	89.89 
538	89.95 	89.73 	89.88 
536	89.95 	89.86 	89.82 
534	90.06 	89.93 	89.81 
532	90.12 	89.97 	89.91 
530	89.93 	89.74 	89.71 
528	89.94 	89.97 	89.93 
526	89.96 	89.88 	89.83 
524	90.14 	89.83 	89.71 
522	90.14 	89.91 	90.10 
520	89.89 	90.03 	89.89 
518	90.07 	89.89 	89.96 
516	90.08 	90.03 	89.95 
514	90.05 	90.02 	89.88 
512	90.07 	90.08 	89.90 
510	90.14 	89.96 	90.01 
508	90.11 	90.04 	90.08 
506	90.27 	90.10 	90.08 
504	90.06 	89.95 	89.98 
502	90.05 	90.32 	89.99 
500	90.21 	90.16 	90.00 
498	90.25 	89.95 	89.97 
496	90.09 	90.01 	89.99 
494	89.99 	90.26 	90.00 
492	90.45 	90.02 	90.17 
490	90.32 	90.06 	90.08 
488	90.22 	89.96 	89.99 
486	90.18 	89.97 	90.06 
484	90.11 	90.21 	90.00 
482	90.23 	90.20 	90.21 
480	90.46 	90.10 	89.96 
478	90.36 	90.14 	89.94 
476	90.20 	90.30 	90.10 
474	90.28 	90.20 	90.13 
472	90.40 	90.05 	89.90 
470	90.36 	90.17 	89.95 
468	90.48 	90.25 	90.25 
466	90.17 	90.18 	90.01 
464	90.45 	90.25 	90.29 
462	90.46 	90.19 	90.16 
460	90.19 	90.17 	90.24 
458	90.24 	90.20 	90.15 
456	90.36 	90.33 	90.40 
454	90.44 	90.01 	89.88 
452	90.35 	90.24 	90.14 
450	90.16 	90.36 	90.14 
448	90.22 	90.33 	90.01 
446	90.42 	90.22 	90.17 
444	90.44 	90.36 	90.20 
442	90.39 	90.41 	90.20 
440	90.40 	90.27 	90.32 
438	90.20 	90.31 	89.92 
436	90.22 	89.94 	89.64 
434	90.38 	90.05 	90.39 
432	90.43 	90.53 	90.30 
430	90.21 	90.39 	90.09 
428	90.19 	90.32 	90.09 
426	90.43 	90.23 	90.05 
424	90.28 	90.41 	90.29 
422	90.53 	90.40 	90.29 
420	90.20 	89.85 	90.57 
418	90.28 	90.41 	90.25 
416	90.11 	90.53 	89.95 
414	91.11 	90.52 	90.90 
412	90.41 	90.16 	89.69 
410	90.21 	90.36 	90.10 
408	90.43 	90.64 	90.19 
406	90.49 	90.31 	90.09 
404	90.24 	90.14 	90.01 
402	90.76 	90.03 	89.70 
400	90.36 	89.95 	90.11 
398	90.65 	90.15 	90.03 
396	90.79 	90.24 	90.46 
394	90.48 	90.25 	90.02 
392	90.55 	90.15 	89.72 
390	90.15 	90.96 	90.21 
388	90.78 	90.52 	89.51 
386	90.86 	90.10 	89.87 
384	89.72 	90.53 	90.41 
382	90.54 	89.94 	90.33 
380	90.60 	90.15 	90.24 
