# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity						
# Coated with Aluminum on 2017-10-20												
# Opened the vacuum chamber on 2017-11-21
# Measured with Subaru Portable Spectrophotometer (SPS) on 2018-05-21 (213 days after, after explosive eruption at Kilauea on 5/17) 
# Measured four times at around the position 3
# Contact: Hirofumi Okita (okita14@naoj.org)    						
#
# Wavelength (nm)	Pos.3 #1	Pos.3 #2	Pos.3 #3	Pos.3 #4
1000 	92.87 	91.55 	91.85 	91.40 
998 	92.45 	91.61 	91.31 	92.78 
996 	92.26 	91.69 	91.60 	92.90 
994 	91.71 	91.33 	92.35 	92.06 
992 	92.40 	91.81 	91.52 	91.37 
990 	92.50 	91.50 	92.53 	92.72 
988 	91.43 	92.12 	91.71 	92.11 
986 	91.99 	91.37 	91.27 	92.02 
984 	91.78 	91.47 	92.00 	91.99 
982 	92.22 	91.28 	92.09 	92.59 
980 	92.15 	91.06 	91.87 	91.94 
978 	92.15 	91.67 	92.01 	91.75 
976 	92.40 	91.08 	91.15 	91.88 
974 	91.51 	90.24 	91.41 	92.26 
972 	92.18 	91.72 	91.47 	92.15 
970 	91.63 	91.15 	91.73 	91.84 
968 	91.58 	90.94 	91.52 	91.31 
966 	91.57 	91.16 	91.38 	91.24 
964 	91.51 	90.97 	90.71 	91.01 
962 	91.34 	90.31 	90.90 	91.44 
960 	91.46 	90.77 	91.28 	90.90 
958 	91.11 	91.36 	91.05 	91.01 
956 	90.99 	90.71 	90.98 	91.16 
954 	91.38 	90.50 	91.32 	91.46 
952 	91.22 	90.85 	90.86 	91.25 
950 	90.75 	90.27 	90.38 	90.75 
948 	91.38 	90.77 	91.07 	90.92 
946 	90.42 	90.63 	90.77 	90.64 
944 	90.65 	90.12 	90.36 	90.98 
942 	90.59 	90.43 	90.27 	90.57 
940 	90.38 	89.92 	90.25 	90.67 
938 	90.45 	90.24 	89.94 	90.31 
936 	90.34 	90.05 	90.34 	90.44 
934 	90.26 	90.10 	89.99 	90.28 
932 	90.23 	89.63 	90.32 	89.99 
930 	89.88 	89.76 	90.16 	90.01 
928 	89.65 	89.65 	89.89 	89.46 
