# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity
# Coated with Aluminum on 2017-10-20
# Opened the vacuum chamber on 2017-11-21
# Measured with Subaru Portable Spectrophotometer (SPS) on 2018-06-21 (244 days after)
# Measured four times at around the position 3
# Contact: Hirofumi Okita (okita14@naoj.org)
#
# Wavelength (nm)	Pos.3 #1	Pos.3 #2	Pos.3 #3	Pos.3 #4
1000 	92.74 	92.38 	92.05 	92.55 
998 	91.36 	91.39 	90.63 	91.69 
996 	92.23 	92.07 	91.49 	92.07 
994 	91.38 	91.84 	91.48 	91.85 
992 	91.92 	90.71 	90.70 	91.84 
990 	90.95 	92.37 	91.44 	92.23 
988 	91.31 	92.21 	91.44 	92.08 
986 	91.63 	92.12 	91.54 	92.17 
984 	91.27 	92.22 	90.64 	91.78 
982 	91.21 	92.28 	91.25 	91.83 
980 	91.65 	92.02 	90.53 	91.69 
978 	91.41 	91.73 	91.33 	91.53 
976 	91.85 	92.11 	90.81 	91.77 
974 	91.61 	91.51 	90.73 	91.41 
972 	90.92 	91.14 	90.86 	91.04 
970 	91.10 	91.33 	91.23 	91.00 
968 	91.22 	91.29 	90.73 	90.66 
966 	90.95 	91.26 	90.57 	90.99 
964 	91.33 	91.49 	90.62 	91.08 
962 	90.39 	91.45 	90.65 	91.14 
960 	90.84 	91.17 	91.12 	90.53 
958 	91.31 	91.03 	91.13 	90.61 
956 	91.22 	91.23 	90.43 	91.07 
954 	90.91 	90.80 	90.50 	90.89 
952 	90.53 	91.16 	90.90 	90.53 
950 	90.38 	91.32 	90.41 	90.15 
948 	90.52 	91.22 	90.00 	91.09 
946 	90.64 	91.21 	90.25 	90.73 
944 	90.80 	90.64 	90.18 	90.01 
942 	90.40 	90.61 	90.01 	90.09 
940 	90.31 	90.09 	89.96 	89.99 
938 	89.88 	90.25 	89.52 	89.70 
936 	90.10 	90.30 	89.44 	90.48 
934 	90.28 	90.23 	89.67 	89.85 
932 	90.27 	90.49 	89.54 	89.75 
930 	89.92 	90.08 	89.39 	89.70 
928 	89.78 	89.42 	89.31 	89.83 
926 	89.62 	89.92 	89.28 	89.39 
924 	89.55 	90.22 	89.36 	89.41 
922 	89.09 	89.69 	89.06 	89.27 
920 	88.91 	89.69 	89.16 	89.34 
918 	89.40 	89.66 	89.01 	89.35 
916 	89.05 	89.58 	88.99 	89.25 
914 	88.88 	89.23 	88.83 	88.76 
912 	88.90 	89.37 	88.66 	88.32 
910 	88.91 	88.95 	88.70 	89.05 
908 	88.72 	88.70 	88.21 	88.12 
906 	88.33 	88.67 	88.12 	87.96 
904 	88.03 	88.36 	88.30 	88.21 
902 	88.16 	88.18 	88.26 	88.02 
900 	88.06 	87.93 	87.85 	88.34 
898 	88.05 	88.50 	87.72 	87.88 
896 	87.59 	88.06 	87.95 	87.82 
894 	87.87 	87.55 	87.77 	87.77 
892 	87.26 	87.72 	87.23 	87.80 
890 	87.23 	87.53 	87.14 	87.38 
888 	87.25 	87.21 	87.20 	86.80 
886 	87.11 	87.73 	87.02 	86.85 
884 	86.72 	86.94 	86.92 	87.21 
882 	86.72 	86.96 	86.52 	86.50 
880 	86.56 	86.96 	86.45 	86.81 
878 	86.53 	86.79 	86.37 	86.85 
876 	86.41 	86.35 	85.87 	86.35 
874 	86.13 	86.68 	85.99 	86.27 
872 	85.94 	86.36 	85.84 	86.16 
870 	85.89 	86.03 	86.10 	86.20 
868 	85.78 	86.10 	85.70 	85.92 
866 	85.59 	85.82 	85.38 	85.90 
864 	85.52 	85.43 	85.40 	85.45 
862 	85.30 	85.53 	85.10 	85.50 
860 	85.44 	85.79 	85.23 	85.47 
858 	85.20 	85.50 	85.03 	85.21 
856 	85.38 	85.36 	84.80 	84.77 
854 	84.81 	84.89 	84.80 	84.88 
852 	84.82 	85.04 	85.07 	84.88 
850 	84.55 	84.86 	84.56 	84.79 
848 	84.55 	84.91 	84.37 	84.71 
846 	84.59 	84.57 	84.09 	84.07 
844 	84.45 	84.47 	84.04 	84.43 
842 	84.24 	84.43 	83.93 	84.28 
840 	84.11 	84.18 	84.34 	84.24 
838 	84.27 	84.05 	84.03 	84.18 
836 	83.79 	84.26 	83.75 	84.53 
834 	84.02 	84.55 	84.35 	84.00 
832 	83.97 	84.79 	84.23 	83.97 
830 	84.30 	84.45 	83.65 	84.37 
828 	84.06 	84.36 	83.94 	83.99 
826 	83.89 	84.68 	84.16 	83.94 
824 	84.19 	84.22 	83.85 	84.43 
822 	84.16 	84.48 	83.99 	84.09 
820 	83.81 	84.21 	83.86 	84.38 
818 	83.91 	84.40 	83.95 	83.87 
816 	84.11 	84.05 	83.97 	83.95 
814 	83.98 	84.37 	84.00 	84.00 
812 	83.92 	84.24 	84.07 	83.94 
810 	84.09 	84.52 	84.15 	84.12 
808 	84.26 	84.70 	84.25 	84.14 
806 	84.34 	84.45 	84.31 	84.53 
804 	84.46 	84.87 	84.08 	84.30 
802 	84.35 	84.71 	84.13 	84.53 
800 	84.38 	84.72 	84.31 	84.58 
798 	84.49 	84.43 	84.25 	84.54 
796 	84.72 	84.71 	84.11 	84.47 
794 	84.51 	84.93 	84.22 	84.68 
792 	84.47 	84.72 	84.41 	84.58 
790 	84.71 	84.92 	84.62 	84.65 
788 	84.70 	85.05 	84.63 	84.82 
786 	84.90 	84.95 	84.71 	84.84 
784 	85.04 	85.23 	85.14 	84.87 
782 	85.15 	85.26 	84.94 	85.05 
780 	85.41 	84.95 	84.83 	85.18 
778 	85.09 	85.34 	85.01 	85.02 
776 	85.19 	85.32 	85.17 	85.17 
774 	85.67 	85.47 	85.22 	85.32 
772 	85.22 	85.53 	85.01 	85.35 
770 	85.27 	85.49 	85.24 	85.39 
768 	85.60 	85.82 	85.37 	85.65 
766 	85.54 	85.86 	85.48 	85.73 
764 	85.91 	85.72 	85.63 	85.75 
762 	85.79 	85.76 	85.65 	85.68 
760 	85.83 	86.11 	85.60 	85.66 
758 	85.93 	86.18 	85.46 	85.99 
756 	85.99 	86.11 	85.94 	85.99 
754 	85.92 	86.05 	85.71 	85.81 
752 	85.92 	86.33 	86.09 	86.15 
750 	86.05 	86.41 	85.93 	86.22 
748 	86.24 	86.14 	85.85 	86.10 
746 	86.08 	86.45 	85.93 	86.13 
744 	86.40 	86.39 	86.14 	86.36 
742 	86.32 	86.56 	86.16 	86.36 
740 	86.56 	86.68 	86.22 	86.41 
738 	86.50 	86.77 	86.52 	86.63 
736 	86.70 	86.78 	86.50 	86.43 
734 	86.66 	86.88 	86.35 	86.62 
732 	86.73 	86.78 	86.32 	86.58 
730 	86.69 	86.99 	86.57 	86.54 
