# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity
# Coated with Aluminum on 2017-10-20
# Opened the vacuum chamber on 2017-11-21
# Measured with Subaru Portable Spectrophotometer (SPS) on 2018-07-23 (276 days after)
# Measured three times at around the position 3
# Contact: Hirofumi Okita (okita14@naoj.org)
#
# Wavelength (nm)	Pos.3 #1	Pos.3 #2	Pos.3 #3
1000 	91.66 	91.67 	92.77 
998 	91.68 	92.20 	92.24 
996 	91.66 	92.81 	91.61 
994 	91.09 	92.33 	92.02 
992 	90.98 	92.04 	91.87 
990 	90.79 	91.49 	91.95 
988 	91.81 	91.66 	91.68 
986 	91.68 	91.69 	91.68 
984 	91.30 	91.25 	91.08 
982 	91.15 	91.77 	91.57 
980 	91.59 	92.24 	90.86 
978 	90.96 	91.79 	91.00 
976 	91.19 	91.91 	91.33 
974 	91.76 	91.55 	90.86 
972 	91.86 	91.25 	90.75 
970 	91.19 	90.57 	90.86 
968 	91.57 	91.01 	91.15 
966 	90.31 	91.72 	90.76 
964 	91.04 	91.30 	91.11 
962 	91.00 	91.10 	90.70 
960 	90.71 	90.58 	90.61 
958 	90.95 	91.25 	90.70 
956 	91.01 	91.21 	90.38 
954 	90.37 	90.73 	90.61 
952 	90.39 	90.88 	90.49 
950 	90.52 	91.42 	90.80 
948 	90.36 	90.49 	90.70 
946 	90.06 	91.00 	91.11 
944 	90.28 	90.20 	90.19 
942 	90.20 	90.86 	90.32 
940 	89.87 	89.60 	90.22 
938 	90.01 	90.33 	90.43 
936 	90.59 	90.07 	90.07 
934 	90.08 	89.99 	89.89 
932 	89.56 	89.72 	89.94 
930 	89.15 	89.60 	89.32 
928 	89.39 	89.90 	89.38 
926 	89.52 	89.71 	89.38 
924 	89.06 	89.61 	89.47 
922 	89.01 	89.66 	88.61 
920 	89.20 	89.57 	89.24 
918 	89.11 	89.07 	88.57 
916 	88.62 	88.95 	88.93 
914 	89.05 	89.15 	88.71 
912 	88.88 	88.77 	88.91 
910 	89.00 	88.90 	88.69 
908 	88.53 	88.65 	88.07 
906 	88.19 	88.52 	87.79 
904 	88.33 	88.31 	88.00 
902 	87.94 	88.04 	88.20 
900 	88.41 	87.92 	87.93 
898 	87.82 	87.81 	87.63 
896 	87.53 	87.78 	87.70 
894 	87.51 	87.96 	87.34 
892 	87.48 	87.29 	87.07 
890 	87.55 	87.58 	87.37 
888 	87.16 	86.88 	87.20 
886 	86.98 	86.96 	86.98 
884 	86.70 	86.90 	86.71 
882 	86.92 	86.94 	86.48 
880 	86.19 	86.67 	86.25 
878 	86.47 	86.42 	86.20 
876 	86.31 	86.30 	86.03 
874 	86.08 	86.11 	85.88 
872 	86.12 	86.15 	86.26 
870 	85.73 	85.95 	85.61 
868 	85.69 	85.90 	85.69 
866 	85.54 	85.44 	85.35 
864 	85.38 	85.59 	85.31 
862 	85.08 	85.27 	85.27 
860 	85.41 	85.35 	85.41 
858 	84.84 	85.45 	85.24 
856 	84.94 	85.30 	84.83 
854 	84.56 	84.89 	84.55 
852 	84.66 	84.81 	84.60 
850 	84.46 	84.75 	84.36 
848 	84.38 	84.77 	84.67 
846 	84.17 	84.42 	84.11 
844 	84.21 	84.56 	84.32 
842 	84.23 	84.36 	84.20 
840 	84.21 	84.26 	84.02 
838 	84.08 	84.28 	84.01 
836 	84.11 	84.32 	83.97 
834 	84.01 	84.18 	84.15 
832 	84.05 	84.03 	84.01 
830 	83.92 	83.90 	83.72 
828 	84.29 	83.94 	83.89 
826 	83.85 	84.43 	83.53 
824 	83.50 	84.26 	83.75 
822 	83.97 	84.15 	83.88 
820 	83.54 	84.08 	83.77 
818 	83.80 	83.94 	83.97 
816 	84.02 	83.98 	83.69 
814 	84.09 	83.86 	84.12 
812 	84.07 	84.22 	83.94 
810 	83.81 	84.22 	84.06 
808 	83.79 	84.47 	84.18 
806 	84.09 	84.28 	84.07 
804 	84.07 	84.22 	84.19 
802 	84.29 	84.57 	84.22 
800 	84.41 	84.72 	84.20 
798 	84.25 	84.59 	84.18 
796 	84.28 	84.50 	84.54 
794 	84.47 	84.35 	84.56 
792 	84.25 	84.58 	84.48 
790 	84.50 	84.89 	84.56 
788 	84.55 	84.34 	84.92 
786 	84.57 	84.90 	84.86 
784 	84.53 	85.15 	84.94 
782 	85.17 	84.72 	84.80 
780 	84.88 	84.99 	84.88 
778 	84.68 	85.00 	84.83 
776 	85.12 	85.09 	85.07 
774 	85.21 	85.35 	85.22 
772 	84.96 	85.20 	85.09 
770 	85.22 	85.47 	85.14 
768 	85.23 	85.50 	85.40 
766 	85.59 	85.68 	85.49 
764 	85.37 	85.62 	85.63 
762 	85.60 	85.70 	85.60 
760 	85.67 	85.98 	85.46 
758 	85.54 	85.72 	85.71 
756 	85.91 	85.92 	85.74 
754 	85.75 	85.79 	85.91 
752 	85.72 	86.11 	86.01 
750 	86.04 	85.97 	85.87 
748 	86.28 	86.04 	85.95 
746 	86.08 	86.43 	86.05 
744 	86.14 	86.04 	86.43 
742 	86.09 	86.43 	86.37 
740 	86.33 	86.34 	86.33 
738 	86.58 	86.55 	86.45 
736 	86.56 	86.72 	86.49 
734 	86.67 	86.52 	86.57 
732 	86.53 	86.79 	86.41 
730 	86.48 	86.82 	86.56 
728 	86.55 	86.80 	86.38 
726 	86.63 	86.91 	86.59 
724 	86.62 	86.89 	86.62 
722 	86.95 	87.03 	86.72 
720 	86.60 	87.17 	86.85 
718 	86.69 	87.21 	86.71 
716 	87.11 	87.14 	86.91 
714 	86.91 	87.04 	86.97 
712 	86.91 	87.02 	86.94 
710 	87.07 	87.19 	86.74 
708 	87.04 	87.26 	87.00 
706 	86.86 	87.22 	87.05 
704 	87.11 	87.60 	87.07 
702 	87.29 	87.51 	87.13 
700 	87.15 	87.36 	87.33 
698 	87.32 	87.66 	87.42 
696 	87.20 	87.48 	87.20 
694 	87.43 	87.55 	87.17 
692 	87.48 	87.71 	87.35 
690 	87.31 	87.61 	87.44 
688 	87.51 	87.77 	87.36 
686 	87.65 	87.75 	87.29 
684 	87.64 	87.75 	87.42 
682 	87.71 	87.88 	87.55 
680 	87.60 	87.90 	87.48 
678 	87.41 	87.64 	87.62 
676 	87.66 	87.98 	87.53 
674 	87.77 	87.94 	87.75 
672 	87.52 	87.89 	87.71 
670 	87.61 	88.01 	87.69 
668 	87.85 	87.99 	87.75 
666 	87.82 	88.06 	87.92 
664 	88.03 	88.12 	87.95 
662 	87.72 	88.16 	88.06 
660 	87.77 	88.21 	88.06 
658 	87.90 	88.13 	88.01 
656 	87.93 	88.12 	87.89 
654 	88.19 	88.23 	88.01 
652 	88.09 	88.30 	88.08 
650 	88.17 	88.32 	88.16 
648 	88.01 	88.50 	88.06 
646 	88.01 	88.62 	88.15 
644 	88.11 	88.33 	88.22 
642 	88.31 	88.51 	88.30 
640 	88.38 	88.39 	88.18 
638 	88.12 	88.41 	88.40 
636 	88.19 	88.52 	88.11 
634 	88.12 	88.57 	88.28 
632 	88.38 	88.46 	88.35 
630 	88.48 	88.49 	88.48 
628 	88.32 	88.57 	88.35 
626 	88.33 	88.70 	88.32 
624 	88.26 	88.70 	88.45 
622 	88.54 	88.71 	88.44 
620 	88.26 	88.63 	88.45 
618 	88.40 	88.72 	88.52 
616 	88.33 	88.68 	88.50 
614 	88.27 	88.65 	88.40 
612 	88.47 	88.74 	88.42 
610 	88.66 	88.77 	88.58 
608 	88.58 	88.67 	88.55 
606 	88.49 	88.77 	88.58 
604 	88.48 	88.93 	88.73 
602 	88.79 	88.72 	88.49 
600 	88.62 	88.73 	88.70 
598 	88.59 	88.92 	88.64 
596 	88.64 	88.98 	88.61 
594 	88.69 	88.91 	88.55 
592 	88.56 	88.84 	88.74 
590 	88.52 	88.91 	88.61 
588 	88.54 	88.97 	88.69 
586 	88.74 	89.05 	88.61 
584 	88.43 	89.02 	88.70 
582 	88.50 	88.71 	88.67 
580 	88.73 	88.97 	88.80 
578 	88.73 	88.94 	88.82 
576 	88.73 	89.01 	88.75 
574 	88.70 	89.12 	88.74 
572 	88.98 	89.10 	88.81 
570 	88.77 	89.16 	88.82 
568 	88.94 	89.08 	88.84 
566 	88.88 	89.06 	88.89 
564 	88.65 	89.02 	88.89 
562 	88.94 	89.19 	89.00 
560 	88.75 	89.09 	88.73 
558 	88.74 	89.21 	88.93 
556 	88.99 	89.30 	88.90 
554 	89.00 	89.10 	88.74 
552 	88.80 	89.18 	88.81 
550 	88.88 	89.02 	88.86 
548 	88.91 	89.13 	88.96 
546 	89.08 	89.25 	88.83 
544 	88.90 	89.29 	88.93 
542 	88.83 	89.21 	88.81 
540 	88.73 	89.23 	88.99 
538 	88.95 	89.08 	88.99 
536 	88.95 	89.19 	88.78 
534 	88.95 	89.18 	88.79 
532 	88.96 	89.53 	89.14 
530 	88.89 	89.35 	88.95 
528 	88.82 	89.26 	88.92 
526 	88.86 	89.49 	88.93 
524 	89.01 	89.23 	89.02 
522 	88.95 	89.33 	88.84 
520 	89.01 	89.24 	88.89 
518 	89.12 	89.13 	89.12 
516 	89.09 	89.29 	89.16 
514 	88.94 	89.35 	89.12 
512 	89.02 	89.29 	89.11 
510 	88.80 	89.30 	89.10 
508 	89.02 	89.47 	88.99 
506 	88.97 	89.29 	89.16 
504 	89.04 	89.23 	89.04 
502 	89.12 	89.32 	89.04 
500 	88.96 	89.35 	89.37 
498 	88.99 	89.28 	89.02 
496 	89.13 	89.31 	89.11 
494 	89.23 	89.37 	88.94 
492 	88.93 	89.21 	89.01 
490 	88.84 	89.21 	89.06 
488 	89.00 	89.23 	89.07 
486 	88.95 	89.38 	88.98 
484 	89.03 	89.46 	89.47 
482 	89.16 	89.41 	89.13 
480 	89.01 	89.47 	89.07 
478 	88.99 	89.44 	89.15 
476 	89.22 	89.09 	89.04 
474 	89.22 	89.50 	89.07 
472 	89.08 	89.26 	89.01 
470 	88.88 	89.34 	89.09 
468 	89.18 	89.51 	89.01 
466 	88.95 	89.31 	89.31 
464 	88.78 	89.38 	89.10 
462 	89.17 	89.33 	89.33 
460 	88.92 	89.56 	89.10 
458 	89.27 	89.02 	89.10 
456 	89.12 	89.10 	89.24 
454 	89.09 	89.21 	89.27 
452 	88.80 	89.24 	89.17 
450 	88.88 	89.27 	89.22 
448 	89.12 	89.36 	89.03 
446 	88.89 	89.36 	89.05 
444 	88.82 	89.36 	89.17 
442 	89.10 	89.40 	89.50 
440 	88.90 	89.47 	89.07 
438 	88.96 	89.36 	89.23 
436 	88.30 	89.00 	89.19 
434 	89.03 	89.36 	89.05 
432 	89.20 	89.45 	88.99 
430 	89.10 	89.53 	89.36 
428 	89.09 	89.25 	88.89 
426 	89.07 	89.50 	89.07 
424 	89.08 	89.32 	88.97 
422 	89.22 	89.13 	89.06 
420 	88.92 	89.20 	89.02 
418 	89.12 	89.40 	89.44 
416 	89.13 	89.04 	88.85 
414 	88.58 	89.48 	89.24 
412 	88.81 	89.26 	88.83 
410 	89.27 	89.08 	89.31 
408 	89.32 	89.33 	88.81 
406 	89.03 	89.11 	88.81 
404 	89.22 	89.32 	89.19 
402 	88.53 	89.60 	88.92 
400 	88.46 	89.21 	88.76 
398 	89.10 	89.49 	89.39 
396 	88.56 	88.78 	89.22 
394 	89.23 	89.04 	88.91 
392 	88.57 	88.83 	88.86 
390 	89.45 	89.11 	88.74 
388 	89.31 	89.36 	89.04 
386 	89.26 	88.96 	88.45 
384 	88.67 	89.20 	88.06 
382 	89.33 	88.83 	89.00 
380 	89.21 	89.02 	89.24 
