# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity
# Coated with Aluminum on 2017-10-20
# Opened the vacuum chamber on 2017-11-21
# Measured with Subaru Portable Spectrophotometer (SPS) on 2018-10-12 (357 days after)
# Measured four times at around the position 3
# Data between 950 nm and 1650 nm are also available (SPS-XWW).
# Contact: Hirofumi Okita (okita14@naoj.org)
#
# Wavelength (nm)	Pos.3 #1	Pos.3 #2	Pos.3 #3	Pos.3 #4
1000 	90.43 	90.34 	90.32 	90.35 
998 	90.74 	90.62 	90.19 	90.47 
996 	90.74 	90.21 	90.18 	91.07 
994 	90.13 	89.80 	90.13 	89.87 
992 	90.29 	89.53 	90.20 	90.10 
990 	90.88 	90.06 	89.49 	90.01 
988 	89.99 	90.85 	90.06 	89.83 
986 	89.95 	90.64 	90.50 	90.59 
984 	89.57 	90.03 	90.29 	90.34 
982 	90.43 	89.99 	90.47 	89.84 
980 	89.64 	89.67 	90.26 	89.71 
978 	90.12 	89.81 	89.89 	89.80 
976 	89.72 	89.47 	90.56 	89.86 
974 	89.53 	89.64 	90.25 	89.64 
972 	89.77 	90.02 	90.19 	90.02 
970 	89.76 	90.06 	89.81 	90.40 
968 	89.96 	90.09 	90.01 	89.40 
966 	89.44 	89.77 	88.98 	89.59 
964 	89.44 	89.92 	88.82 	89.95 
962 	89.62 	89.97 	89.75 	89.44 
960 	89.30 	89.50 	90.16 	89.83 
958 	89.76 	89.61 	89.58 	89.82 
956 	89.07 	89.79 	89.77 	90.14 
954 	89.13 	89.31 	89.67 	89.46 
952 	88.87 	89.05 	89.41 	89.15 
950 	88.76 	89.28 	89.26 	88.34 
948 	89.09 	88.74 	89.25 	88.96 
946 	89.26 	88.86 	88.50 	89.54 
944 	89.12 	89.05 	88.73 	88.85 
942 	88.82 	88.33 	88.57 	88.70 
940 	88.84 	88.60 	88.78 	88.37 
938 	88.89 	88.66 	88.62 	88.72 
936 	88.62 	88.59 	88.28 	88.80 
934 	88.11 	87.89 	88.19 	88.43 
932 	88.36 	88.53 	88.08 	88.53 
930 	88.30 	88.41 	88.04 	87.99 
928 	88.35 	87.83 	88.54 	87.88 
926 	87.68 	87.72 	87.88 	88.08 
924 	88.14 	87.24 	87.88 	87.85 
922 	87.52 	87.40 	88.12 	88.13 
920 	87.74 	87.67 	87.26 	87.81 
918 	87.52 	87.60 	87.83 	87.84 
916 	87.52 	87.35 	87.68 	87.59 
914 	87.21 	87.22 	87.56 	87.24 
912 	86.94 	86.98 	87.12 	87.26 
910 	86.78 	86.46 	86.95 	86.78 
908 	86.83 	86.74 	86.91 	86.66 
906 	86.87 	86.93 	86.97 	86.95 
904 	86.47 	86.45 	86.47 	86.44 
902 	86.54 	86.70 	86.89 	86.56 
900 	86.34 	86.36 	86.18 	86.43 
898 	86.40 	86.12 	86.28 	86.17 
896 	86.33 	86.00 	85.81 	86.39 
894 	86.14 	85.98 	86.12 	85.96 
892 	85.77 	86.12 	85.79 	85.76 
890 	85.44 	85.48 	85.72 	85.65 
888 	85.67 	85.29 	85.77 	85.56 
886 	85.41 	85.32 	85.74 	85.63 
884 	85.27 	85.22 	85.20 	85.24 
882 	85.01 	85.03 	85.15 	85.25 
880 	84.76 	85.10 	84.95 	85.14 
878 	84.72 	84.71 	85.14 	85.11 
876 	84.71 	84.18 	84.65 	84.71 
874 	84.46 	84.12 	84.52 	84.57 
872 	84.26 	84.24 	84.76 	84.06 
870 	84.14 	83.90 	84.17 	84.28 
868 	84.33 	83.98 	84.26 	84.02 
866 	83.85 	83.66 	84.07 	83.97 
864 	83.97 	83.53 	83.61 	83.73 
862 	83.83 	83.49 	83.63 	83.75 
860 	83.71 	83.45 	83.81 	83.62 
858 	83.47 	83.65 	83.29 	83.49 
856 	83.39 	83.17 	83.12 	83.38 
854 	83.54 	83.07 	83.27 	83.03 
852 	82.92 	83.20 	83.06 	83.07 
850 	83.15 	82.41 	82.79 	82.69 
848 	82.70 	82.54 	82.64 	82.70 
846 	82.65 	82.51 	83.05 	82.79 
844 	82.69 	82.46 	82.59 	82.52 
842 	82.50 	82.39 	82.43 	82.61 
840 	82.33 	82.36 	82.95 	82.72 
838 	82.51 	82.54 	82.50 	82.34 
836 	82.37 	82.48 	82.37 	82.39 
834 	82.54 	82.46 	82.74 	82.46 
832 	81.88 	82.12 	82.51 	82.33 
830 	82.52 	82.03 	81.89 	82.00 
828 	82.41 	82.07 	82.29 	82.24 
826 	82.25 	81.94 	82.03 	82.12 
824 	82.07 	82.32 	82.47 	82.11 
822 	82.20 	81.65 	81.96 	82.21 
820 	82.22 	82.01 	82.07 	82.02 
818 	82.36 	82.20 	81.81 	82.22 
816 	82.30 	82.00 	82.30 	82.18 
814 	82.28 	82.04 	82.03 	82.40 
812 	81.94 	82.20 	82.07 	82.47 
810 	82.23 	82.16 	81.96 	82.37 
808 	82.30 	82.18 	82.31 	82.26 
806 	82.35 	82.22 	82.17 	82.36 
804 	82.54 	82.05 	82.41 	82.74 
802 	82.07 	81.98 	82.50 	82.19 
800 	82.57 	82.30 	82.32 	82.52 
798 	82.45 	82.35 	82.47 	82.62 
796 	82.69 	82.62 	82.59 	82.61 
794 	82.56 	82.73 	82.59 	83.06 
792 	82.97 	82.65 	82.82 	82.69 
790 	82.89 	82.70 	82.85 	82.68 
788 	82.88 	82.44 	82.89 	82.59 
786 	82.77 	82.78 	83.00 	83.13 
784 	82.83 	83.00 	83.08 	82.97 
782 	83.06 	83.00 	82.83 	83.36 
780 	83.06 	83.26 	83.16 	83.36 
778 	83.20 	82.94 	83.34 	83.09 
776 	83.29 	83.24 	83.42 	83.30 
774 	83.34 	82.96 	83.65 	83.46 
772 	83.65 	83.12 	83.42 	83.57 
770 	83.73 	83.33 	83.31 	83.15 
768 	83.40 	83.46 	83.58 	83.56 
766 	83.63 	83.58 	83.51 	83.52 
764 	83.57 	83.24 	83.79 	83.55 
762 	83.56 	83.78 	83.79 	83.86 
760 	83.61 	83.63 	83.75 	83.98 
758 	84.11 	83.59 	84.04 	83.81 
756 	84.16 	83.56 	84.01 	83.83 
754 	83.95 	83.84 	83.93 	83.81 
752 	84.10 	83.68 	83.94 	84.03 
750 	84.15 	83.80 	84.25 	84.14 
748 	84.37 	83.95 	84.27 	84.31 
746 	84.44 	84.04 	84.13 	84.25 
744 	84.23 	84.06 	84.21 	84.41 
742 	84.18 	84.18 	84.24 	84.34 
740 	84.61 	84.20 	84.02 	84.31 
738 	84.62 	84.28 	84.55 	84.49 
736 	84.59 	84.24 	84.58 	84.65 
734 	84.52 	84.50 	84.71 	84.45 
732 	84.58 	84.42 	84.50 	84.61 
730 	84.94 	84.36 	84.60 	84.73 
728 	84.42 	84.49 	84.66 	84.77 
726 	84.82 	84.65 	84.87 	84.72 
724 	84.83 	84.66 	84.62 	84.75 
722 	84.78 	84.66 	84.82 	84.88 
720 	85.04 	84.89 	84.76 	84.87 
718 	85.06 	84.71 	84.67 	84.90 
716 	84.90 	84.74 	84.95 	84.90 
714 	85.02 	84.54 	84.93 	84.93 
712 	84.92 	84.84 	84.86 	84.91 
710 	85.22 	84.82 	85.05 	85.17 
708 	85.19 	85.05 	84.98 	85.29 
706 	85.15 	85.17 	84.98 	85.14 
