# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity
# Coated with Aluminum on 2017-10-20
# Opened the vacuum chamber on 2017-11-21
# Measured with Subaru Portable Spectrophotometer (SPS) on 2019-01-31 (468 days after, pre CO2 cleaning)
# Measured four times at around the position 3
# Data between 950 nm and 1650 nm are also available (SPS-XWW).
# Contact: Hirofumi Okita (okita14@naoj.org)
#
# Wavelength (nm)	Pos.3 #1	Pos.3 #2	Pos.3 #3	Pos.3 #4
1000 	90.44	90.48	89.69	90.39
998 	90.15	89.54	90.10	89.03
996 	89.35	90.05	89.56	89.80
994 	89.82	90.61	89.85	89.10
992 	89.75	90.16	89.54	89.56
990 	89.08	89.80	90.08	89.45
988 	89.32	88.94	90.30	89.45
986 	90.10	89.73	89.89	88.78
984 	89.68	89.63	89.78	90.18
982 	89.59	89.41	88.60	88.86
980 	89.77	89.21	89.51	88.83
978 	89.72	88.89	88.95	89.09
976 	89.54	88.86	89.61	89.13
974 	89.76	89.23	89.28	89.52
972 	89.62	89.07	89.48	89.55
970 	89.12	89.02	88.86	88.65
968 	89.98	88.43	88.49	89.14
966 	89.19	89.66	88.48	88.75
964 	88.88	89.17	89.08	89.03
962 	89.01	88.79	88.19	88.31
960 	88.57	88.77	88.93	88.66
958 	89.16	88.82	88.14	88.49
956 	88.24	88.38	88.56	87.84
954 	88.80	88.88	88.47	88.47
952 	88.01	88.62	88.52	88.75
950 	88.41	88.23	87.88	88.04
948 	88.09	88.02	88.62	88.33
946 	88.54	88.66	88.83	88.35
944 	88.74	88.22	88.40	88.38
942 	88.21	87.99	87.85	88.16
940 	87.83	88.05	87.83	87.79
938 	88.25	88.10	87.93	87.80
936 	87.82	87.73	88.18	87.93
934 	87.84	87.79	87.97	87.65
932 	87.97	87.03	87.99	87.37
930 	87.37	87.85	87.14	87.19
928 	87.48	87.46	87.45	86.92
926 	87.63	87.05	87.32	87.10
924 	87.34	87.38	86.87	87.30
922 	87.43	87.16	86.77	86.77
920 	87.05	86.88	86.93	86.87
918 	86.58	86.85	86.68	86.83
916 	86.92	86.94	86.55	86.65
914 	86.67	86.60	86.69	86.27
912 	86.41	86.40	86.33	86.36
910 	86.63	86.38	86.26	85.83
908 	86.20	86.38	86.25	86.08
906 	86.49	86.40	86.23	85.74
904 	86.40	86.02	85.77	85.92
902 	85.91	85.48	85.26	85.45
900 	85.92	85.71	85.48	85.43
898 	85.34	85.67	85.73	85.61
896 	85.57	85.56	85.31	85.43
894 	85.56	85.36	85.24	85.30
892 	85.06	85.11	85.06	84.79
890 	85.08	85.42	84.71	85.23
888 	85.07	84.61	85.01	84.74
886 	84.40	84.65	84.49	84.66
884 	84.20	84.50	84.63	84.55
882 	84.43	84.39	84.50	83.82
880 	84.18	84.04	83.92	84.05
878 	83.91	84.24	84.31	83.58
876 	83.94	84.12	83.85	83.96
874 	83.61	83.45	83.82	83.66
872 	83.73	83.62	83.92	83.66
870 	83.31	83.61	83.52	83.10
868 	83.44	83.09	83.50	83.18
866 	82.95	83.29	83.07	83.09
864 	83.16	83.35	83.02	82.78
862 	82.78	82.93	82.97	82.84
860 	82.98	82.64	82.85	82.62
858 	82.87	82.90	82.83	82.79
856 	82.67	82.50	82.79	82.49
854 	82.37	82.18	82.46	81.91
852 	82.03	82.03	82.34	81.99
850 	81.87	82.12	81.82	82.00
848 	82.19	82.04	82.36	81.75
846 	82.03	81.89	82.00	81.98
844 	81.93	81.85	81.83	81.92
842 	82.08	81.88	81.86	82.04
840 	81.57	81.43	81.66	81.96
838 	82.01	81.72	81.89	81.79
836 	81.56	81.44	81.80	81.16
834 	81.83	81.68	81.80	81.16
832 	81.42	81.50	81.47	81.58
