# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity
# Coated with Aluminum on 2017-10-20
# Opened the vacuum chamber on 2017-11-21
# Measured with Subaru Portable Spectrophotometer (SPS) on 2019-02-01 (469 days after, post CO2 cleaning)
# Measured three times at around the position 3
# Data between 950 nm and 1650 nm are also available (SPS-XWW).
# Contact: Hirofumi Okita (okita14@naoj.org)
#
# Wavelength (nm)	Pos.3 #1	Pos.3 #2	Pos.3 #3
1000 	90.80	89.32	90.05
998 	89.60	89.48	89.71
996 	90.90	90.52	90.25
994 	90.60	90.22	90.06
992 	90.09	89.75	90.22
990 	90.72	89.20	89.26
988 	89.81	89.70	89.68
986 	89.54	89.92	89.84
984 	90.18	89.05	89.61
982 	90.93	89.64	89.51
980 	90.22	89.62	89.91
978 	90.02	89.67	90.10
976 	89.87	89.23	89.62
974 	90.07	89.38	89.97
972 	90.21	88.51	89.70
970 	90.13	89.82	90.06
968 	89.81	89.15	88.77
966 	89.67	88.64	89.11
964 	89.54	89.58	89.13
962 	89.59	88.81	89.08
960 	90.09	88.90	89.34
958 	89.54	88.76	88.99
956 	89.83	88.60	88.67
954 	88.89	89.10	88.64
952 	89.07	88.50	88.78
950 	88.94	88.83	89.40
948 	89.43	88.87	88.80
946 	89.15	88.68	88.91
944 	88.98	88.57	88.64
942 	88.66	87.92	88.13
940 	88.88	87.96	88.40
938 	88.45	88.42	88.49
936 	88.11	88.07	88.36
934 	88.37	88.03	88.67
932 	88.31	87.82	87.99
930 	88.17	88.18	88.21
928 	87.88	87.59	87.17
926 	87.86	87.71	87.57
924 	87.64	87.77	87.42
922 	87.92	86.83	87.52
920 	88.07	87.06	87.16
918 	87.50	87.21	87.25
916 	87.44	87.23	87.13
914 	87.36	87.01	86.88
912 	87.02	86.68	86.99
910 	86.91	86.60	86.71
908 	86.89	86.72	86.70
906 	87.08	86.26	86.23
904 	86.47	86.03	86.79
902 	86.71	86.08	86.43
900 	86.26	85.85	86.55
898 	86.27	86.00	86.04
896 	85.66	85.34	85.65
894 	86.07	85.51	85.46
892 	85.78	84.98	85.50
890 	85.44	85.28	85.49
888 	85.03	85.03	85.19
886 	85.37	84.96	84.95
884 	85.15	84.57	84.95
882 	85.03	84.70	85.04
880 	84.50	84.45	84.72
878 	84.94	84.13	84.65
876 	84.41	84.27	84.22
874 	84.43	83.77	84.14
872 	84.02	83.74	83.86
870 	84.00	83.47	83.96
868 	83.87	83.59	83.76
866 	84.14	83.55	83.63
864 	83.42	83.16	83.31
862 	83.22	83.33	83.10
860 	83.34	82.71	83.07
858 	83.29	82.74	83.23
856 	83.09	82.58	82.94
854 	83.06	82.53	82.81
852 	82.87	82.39	82.79
850 	82.91	82.61	82.66
848 	82.55	82.52	82.50
846 	82.59	82.24	82.19
844 	82.72	82.05	82.09
842 	82.25	82.02	82.02
840 	82.46	81.64	81.92
838 	82.35	82.00	82.16
836 	81.99	81.25	81.83
834 	82.33	81.94	81.80
832 	82.23	81.92	81.84
830 	81.83	81.60	82.19
828 	82.23	81.54	81.83
826 	82.00	81.73	81.82
824 	81.85	81.54	81.75
822 	81.79	81.34	81.80
820 	82.32	81.34	82.36
818 	81.93	81.71	82.07
816 	82.05	81.47	81.93
814 	82.19	81.73	81.76
812 	82.19	81.65	82.04
810 	82.16	81.59	82.03
808 	82.33	82.08	81.52
806 	82.20	81.91	82.11
804 	82.09	81.67	81.91
802 	82.17	81.55	82.10
800 	82.04	81.91	81.96
798 	82.15	82.01	82.04
796 	82.61	82.03	82.24
