# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity
# Coated with Aluminum on 2017-10-20
# Opened the vacuum chamber on 2017-11-21
# Measured with Subaru Portable Spectrophotometer (SPS) on 2019-04-26 (553 days after, post CO2 cleaning)
# Measured three times at around the position 3
# Data between 950 nm and 1650 nm are also available (SPS-XWW).
# Contact: Hirofumi Okita (okita14@naoj.org)
#
# Wavelength (nm)	Pos.3 #1	Pos.3 #2	Pos.3 #3
1000 	89.76 	89.81 	91.04 
998 	89.79 	90.21 	90.33 
996 	89.91 	90.04 	90.30 
994 	90.38 	89.76 	90.36 
992 	90.02 	90.43 	90.30 
990 	89.24 	90.68 	90.17 
988 	89.75 	89.47 	90.19 
986 	90.38 	89.01 	90.16 
984 	89.84 	90.66 	89.47 
982 	89.91 	89.93 	89.87 
980 	90.01 	88.44 	90.57 
978 	89.16 	88.88 	90.27 
976 	89.31 	89.49 	90.57 
974 	90.04 	89.61 	90.17 
972 	88.96 	89.55 	89.93 
970 	90.10 	89.99 	89.80 
968 	89.87 	88.77 	89.53 
966 	89.42 	89.86 	89.02 
964 	89.29 	88.97 	89.55 
962 	88.73 	89.26 	89.49 
960 	88.73 	88.69 	88.68 
958 	88.67 	89.07 	89.37 
956 	88.38 	88.61 	88.89 
954 	88.40 	88.85 	88.71 
952 	88.71 	88.87 	88.95 
950 	88.85 	88.65 	89.03 
948 	88.68 	88.78 	89.06 
946 	88.44 	87.82 	88.48 
944 	88.69 	88.57 	89.32 
942 	88.78 	88.77 	88.55 
940 	87.80 	88.64 	88.17 
938 	87.94 	88.95 	88.71 
936 	87.86 	88.53 	88.30 
934 	88.15 	88.56 	88.29 
932 	87.58 	87.46 	87.97 
930 	87.50 	87.74 	88.12 
928 	87.17 	88.28 	87.86 
926 	86.89 	87.75 	87.82 
924 	87.47 	87.65 	87.93 
922 	87.07 	87.38 	87.65 
920 	87.44 	87.58 	86.97 
918 	87.04 	87.04 	86.98 
916 	86.53 	87.05 	87.16 
914 	87.02 	86.87 	86.89 
912 	86.55 	87.26 	86.88 
910 	86.59 	86.67 	86.83 
908 	86.22 	86.59 	86.82 
906 	86.77 	86.13 	86.44 
904 	85.90 	86.23 	86.62 
902 	85.63 	86.13 	86.34 
900 	85.76 	86.04 	86.22 
898 	85.65 	86.03 	85.68 
896 	85.55 	85.49 	86.05 
894 	85.76 	85.75 	85.52 
892 	85.50 	85.47 	85.40 
890 	84.66 	85.10 	85.37 
888 	84.84 	84.91 	85.06 
886 	84.24 	84.70 	85.26 
