# wavelength[angstrom]  transmittance
 3700.0   0.755
 3800.0   0.773
 3900.0   0.795
 4000.0   0.812
 4100.0   0.824
 4200.0   0.830
 4300.0   0.830
 4400.0   0.831
 4500.0   0.835
 4600.0   0.837
 4700.0   0.838
 4800.0   0.837
 4900.0   0.837
 5000.0   0.840
 5100.0   0.841
 5200.0   0.847
 5300.0   0.854
 5400.0   0.864
 5500.0   0.872
 5600.0   0.881
 5700.0   0.890
 5800.0   0.898
 5900.0   0.905
 6000.0   0.910
 6100.0   0.912
 6200.0   0.912
 6300.0   0.911
 6400.0   0.910
 6500.0   0.909
 6600.0   0.906
 6700.0   0.903
 6800.0   0.901
 6900.0   0.897
 7000.0   0.893
 7100.0   0.889
 7200.0   0.883
 7300.0   0.880
 7400.0   0.877
 7500.0   0.874
 7600.0   0.878
 7700.0   0.871
 7800.0   0.868
 7900.0   0.870
 8000.0   0.871
 8100.0   0.866
 8200.0   0.866
 8300.0   0.864
 8400.0   0.858
 8500.0   0.853
 8600.0   0.850
 8700.0   0.853
 8800.0   0.855
 8900.0   0.861
 9000.0   0.865
 9100.0   0.868
 9200.0   0.871
 9300.0   0.874
 9400.0   0.875
 9500.0   0.878
 9600.0   0.881
 9700.0   0.881
 9800.0   0.884
 9900.0   0.885
10000.0   0.887
10100.0   0.883
10200.0   0.884
10300.0   0.880
10400.0   0.877
10500.0   0.872
10600.0   0.870
10700.0   0.864
10800.0   0.858
10900.0   0.849
11000.0   0.842
11100.0   0.832
11200.0   0.822
11300.0   0.809
11400.0   0.799
11500.0   0.785
11600.0   0.773
11700.0   0.759
11800.0   0.744
11900.0   0.730
12000.0   0.715
