# wavelength[angstrom]  transmittance
 3300.0   0.900
 3400.0   0.956
 3500.0   0.972
 3600.0   0.973
 3700.0   0.970
 3800.0   0.967
 3900.0   0.970
 4000.0   0.974
 4100.0   0.976
 4200.0   0.974
 4300.0   0.971
 4400.0   0.969
 4500.0   0.969
 4600.0   0.970
 4700.0   0.970
 4800.0   0.970
 4900.0   0.968
 5000.0   0.967
 5100.0   0.969
 5200.0   0.971
 5300.0   0.975
 5400.0   0.977
 5500.0   0.978
 5600.0   0.978
 5700.0   0.976
 5800.0   0.972
 5900.0   0.969
 6000.0   0.968
 6100.0   0.967
 6200.0   0.967
 6300.0   0.968
 6400.0   0.970
 6500.0   0.972
 6600.0   0.974
 6700.0   0.976
 6800.0   0.978
 6900.0   0.979
 7000.0   0.978
 7100.0   0.978
 7200.0   0.978
 7300.0   0.978
 7400.0   0.977
 7500.0   0.977
 7600.0   0.977
 7700.0   0.976
 7800.0   0.977
 7900.0   0.976
 8000.0   0.977
 8100.0   0.976
 8200.0   0.975
 8300.0   0.976
 8400.0   0.975
 8500.0   0.976
 8600.0   0.975
 8700.0   0.974
 8800.0   0.970
 8900.0   0.970
 9000.0   0.971
 9100.0   0.970
 9200.0   0.971
 9300.0   0.971
 9400.0   0.971
 9500.0   0.974
 9600.0   0.975
 9700.0   0.975
 9800.0   0.977
 9900.0   0.977
10000.0   0.977
10100.0   0.977
10200.0   0.976
10300.0   0.975
10400.0   0.972
10500.0   0.971
10600.0   0.968
10700.0   0.964
10800.0   0.958
10900.0   0.952
11000.0   0.946
11100.0   0.938
11200.0   0.930
11300.0   0.921
11400.0   0.910
11500.0   0.900
