# r[deg]  vignetting
 0.000    1.000
 0.019    0.999
 0.037    0.999
 0.056    0.999
 0.074    1.000
 0.093    0.999
 0.112    0.996
 0.130    0.990
 0.149    0.984
 0.167    0.978
 0.186    0.971
 0.205    0.965
 0.223    0.957
 0.242    0.951
 0.260    0.942
 0.279    0.935
 0.298    0.926
 0.316    0.919
 0.335    0.912
 0.353    0.904
 0.372    0.897
 0.391    0.889
 0.409    0.883
 0.428    0.874
 0.446    0.866
 0.465    0.858
 0.484    0.850
 0.502    0.843
 0.521    0.835
 0.539    0.829
 0.558    0.819
 0.577    0.812
 0.595    0.803
 0.614    0.796
 0.632    0.788
 0.651    0.779
 0.670    0.772
 0.688    0.764
 0.707    0.757
 0.725    0.749
 0.744    0.742
 0.763    0.733
 0.781    0.690
 0.800    0.614
 0.818    0.532
