# wavelength[angstrom] transmittance
 3802.0  0.0034
 3806.0 -0.0006
 3810.0 -0.0005
 3814.0  0.0159
 3818.0  0.0652
 3822.0  0.1579
 3826.0  0.2902
 3830.0  0.4441
 3834.0  0.5945
 3838.0  0.7168
 3842.0  0.7966
 3846.0  0.8373
 3850.0  0.8542
 3854.0  0.8618
 3858.0  0.8671
 3862.0  0.8706
 3866.0  0.8673
 3870.0  0.8476
 3874.0  0.7990
 3878.0  0.7136
 3882.0  0.5934
 3886.0  0.4510
 3890.0  0.3050
 3895.0  0.1756
 3899.0  0.0801
 3903.0  0.0257
 3907.0  0.0046
 3911.0  0.0012
 3915.0  0.0030
 3919.0  0.0043
 3923.0  0.0041
 3927.0  0.0032
 3931.0  0.0025
 3935.0  0.0024
 3939.0  0.0026
 3943.0  0.0023
 3947.0  0.0018
 3951.0  0.0015
 3955.0  0.0017
 3960.0  0.0020
