# wavelength[angstrom]  transmittance
 9000.0  0.0139
 9020.0  0.0060
 9040.0  0.0005
 9060.0  0.0055
 9080.0  0.0027
 9100.0  0.0092
 9120.0  0.0073
 9140.0  0.0139
 9160.0  0.0214
 9180.0  0.0260
 9200.0  0.0474
 9220.0  0.0671
 9240.0  0.0979
 9260.0  0.1567
 9280.0  0.2240
 9300.0  0.3022
 9320.0  0.4048
 9340.0  0.5064
 9360.0  0.6189
 9380.0  0.7253
 9400.0  0.8088
 9420.0  0.8726
 9440.0  0.9153
 9460.0  0.9473
 9480.0  0.9605
 9500.0  0.9701
 9520.0  0.9666
 9540.0  0.9580
 9560.0  0.9647
 9580.0  0.9641
 9600.0  0.9689
 9620.0  0.9737
 9640.0  0.9687
 9660.0  0.9688
 9680.0  0.9681
 9700.0  0.9679
 9720.0  0.9649
 9740.0  0.9656
 9760.0  0.9607
 9780.0  0.9597
 9800.0  0.9571
 9820.0  0.9564
 9840.0  0.9619
 9860.0  0.9643
 9880.0  0.9673
 9900.0  0.9703
 9920.0  0.9694
 9940.0  0.9686
 9960.0  0.9699
 9980.0  0.9678
10000.0  0.9705
10020.0  0.9689
10040.0  0.9669
10060.0  0.9657
10080.0  0.9657
10100.0  0.9705
10120.0  0.9744
10140.0  0.9739
10160.0  0.9725
10180.0  0.9688
10200.0  0.9663
10220.0  0.9689
10240.0  0.9683
10260.0  0.9695
10280.0  0.9695
10300.0  0.9681
10320.0  0.9666
10340.0  0.9642
10360.0  0.9639
10380.0  0.9635
10400.0  0.9638
10420.0  0.9659
10440.0  0.9652
10460.0  0.9640
10480.0  0.9644
10500.0  0.9612
10520.0  0.9611
10540.0  0.9584
10560.0  0.9504
10580.0  0.9406
10600.0  0.9217
10620.0  0.8900
10640.0  0.8456
10660.0  0.7802
10680.0  0.6980
10700.0  0.6036
10720.0  0.5025
10740.0  0.4033
10760.0  0.3100
10780.0  0.2299
10800.0  0.1619
10820.0  0.1102
10840.0  0.0723
10860.0  0.0457
10880.0  0.0295
10900.0  0.0170
10920.0  0.0114
10940.0  0.0085
10960.0  0.0056
10980.0  0.0059
11000.0  0.0052
