# wavelength[angstrom]  transmittance
 3500.0  0.0001
 3510.0  0.0014
 3520.0  0.0022
 3530.0  0.0015
 3540.0  0.0012
 3550.0  0.0025
 3560.0  0.0010
 3570.0  0.0006
 3580.0  0.0004
 3590.0  0.0001
 3600.0  0.0010
 3610.0 -0.0003
 3620.0  0.0004
 3630.0  0.0013
 3640.0  0.0008
 3650.0  0.0018
 3660.0  0.0018
 3670.0  0.0010
 3680.0  0.0014
 3690.0  0.0012
 3700.0  0.0014
 3710.0  0.0008
 3720.0 -0.0004
 3730.0 -0.0001
 3740.0  0.0003
 3750.0  0.0004
 3760.0  0.0004
 3770.0  0.0002
 3780.0  0.0003
 3790.0  0.0004
 3800.0  0.0004
 3810.0  0.0001
 3820.0 -0.0001
 3830.0  0.0001
 3840.0  0.0002
 3850.0  0.0003
 3860.0  0.0004
 3870.0  0.0005
 3880.0  0.0005
 3890.0  0.0003
 3900.0  0.0006
 3910.0  0.0014
 3920.0  0.0019
 3930.0  0.0033
 3940.0  0.0094
 3950.0  0.0227
 3960.0  0.0489
 3970.0  0.0961
 3980.0  0.1856
 3990.0  0.3481
 4000.0  0.5727
 4010.0  0.7852
 4020.0  0.9145
 4030.0  0.9631
 4040.0  0.9739
 4050.0  0.9749
 4060.0  0.9731
 4070.0  0.9733
 4080.0  0.9786
 4090.0  0.9772
 4100.0  0.9781
 4110.0  0.9784
 4120.0  0.9798
 4130.0  0.9766
 4140.0  0.9754
 4150.0  0.9756
 4160.0  0.9761
 4170.0  0.9760
 4180.0  0.9753
 4190.0  0.9768
 4200.0  0.9770
 4210.0  0.9748
 4220.0  0.9756
 4230.0  0.9765
 4240.0  0.9772
 4250.0  0.9817
 4260.0  0.9769
 4270.0  0.9766
 4280.0  0.9716
 4290.0  0.9687
 4300.0  0.9717
 4310.0  0.9762
 4320.0  0.9809
 4330.0  0.9812
 4340.0  0.9819
 4350.0  0.9814
 4360.0  0.9797
 4370.0  0.9787
 4380.0  0.9764
 4390.0  0.9768
 4400.0  0.9784
 4410.0  0.9786
 4420.0  0.9767
 4430.0  0.9781
 4440.0  0.9784
 4450.0  0.9772
 4460.0  0.9800
 4470.0  0.9806
 4480.0  0.9795
 4490.0  0.9804
 4500.0  0.9796
 4510.0  0.9790
 4520.0  0.9756
 4530.0  0.9748
 4540.0  0.9767
 4550.0  0.9768
 4560.0  0.9776
 4570.0  0.9777
 4580.0  0.9783
 4590.0  0.9773
 4600.0  0.9781
 4610.0  0.9768
 4620.0  0.9756
 4630.0  0.9748
 4640.0  0.9732
 4650.0  0.9716
 4660.0  0.9720
 4670.0  0.9731
 4680.0  0.9733
 4690.0  0.9745
 4700.0  0.9745
 4710.0  0.9749
 4720.0  0.9737
 4730.0  0.9732
 4740.0  0.9712
 4750.0  0.9675
 4760.0  0.9676
 4770.0  0.9669
 4780.0  0.9688
 4790.0  0.9713
 4800.0  0.9714
 4810.0  0.9702
 4820.0  0.9710
 4830.0  0.9703
 4840.0  0.9683
 4850.0  0.9691
 4860.0  0.9660
 4870.0  0.9651
 4880.0  0.9698
 4890.0  0.9693
 4900.0  0.9693
 4910.0  0.9690
 4920.0  0.9658
 4930.0  0.9648
 4940.0  0.9633
 4950.0  0.9636
 4960.0  0.9630
 4970.0  0.9621
 4980.0  0.9611
 4990.0  0.9656
 5000.0  0.9681
 5010.0  0.9696
 5020.0  0.9699
 5030.0  0.9671
 5040.0  0.9646
 5050.0  0.9619
 5060.0  0.9621
 5070.0  0.9632
 5080.0  0.9667
 5090.0  0.9696
 5100.0  0.9694
 5110.0  0.9688
 5120.0  0.9675
 5130.0  0.9672
 5140.0  0.9667
 5150.0  0.9658
 5160.0  0.9652
 5170.0  0.9661
 5180.0  0.9660
 5190.0  0.9643
 5200.0  0.9643
 5210.0  0.9651
 5220.0  0.9659
 5230.0  0.9649
 5240.0  0.9635
 5250.0  0.9603
 5260.0  0.9620
 5270.0  0.9626
 5280.0  0.9603
 5290.0  0.9626
 5300.0  0.9613
 5310.0  0.9592
 5320.0  0.9594
 5330.0  0.9597
 5340.0  0.9617
 5350.0  0.9667
 5360.0  0.9648
 5370.0  0.9642
 5380.0  0.9659
 5390.0  0.9655
 5400.0  0.9631
 5410.0  0.9570
 5420.0  0.9392
 5430.0  0.9009
 5440.0  0.8289
 5450.0  0.7255
 5460.0  0.5974
 5470.0  0.4606
 5480.0  0.3343
 5490.0  0.2284
 5500.0  0.1470
 5510.0  0.0877
 5520.0  0.0488
 5530.0  0.0258
 5540.0  0.0137
 5550.0  0.0076
 5560.0  0.0047
 5570.0  0.0032
 5580.0  0.0023
 5590.0  0.0018
 5600.0  0.0015
 5610.0  0.0010
 5620.0  0.0007
 5630.0  0.0005
 5640.0  0.0004
 5650.0  0.0003
 5660.0  0.0003
 5670.0  0.0003
 5680.0  0.0003
 5690.0  0.0003
 5700.0  0.0002
 5710.0  0.0003
 5720.0  0.0003
 5730.0  0.0003
 5740.0  0.0003
 5750.0  0.0003
 5760.0  0.0004
 5770.0  0.0001
 5780.0  0.0001
 5790.0  0.0003
 5800.0  0.0002
 5810.0  0.0003
 5820.0  0.0004
 5830.0  0.0002
 5840.0  0.0001
 5850.0  0.0002
 5860.0  0.0002
 5870.0  0.0001
 5880.0  0.0001
 5890.0  0.0003
 5900.0  0.0002
 5910.0  0.0001
 5920.0  0.0002
 5930.0  0.0002
 5940.0  0.0003
 5950.0  0.0002
 5960.0  0.0003
 5970.0  0.0003
 5980.0  0.0001
 5990.0  0.0001
 6000.0  0.0001
