# wavelength[angstrom]  transmittance
 6503.0  0.0050
 6507.3  0.0049
 6511.6  0.0050
 6516.0  0.0046
 6520.3  0.0048
 6524.6  0.0049
 6528.9  0.0050
 6533.3  0.0049
 6537.6  0.0051
 6541.9  0.0048
 6546.3  0.0050
 6550.6  0.0051
 6554.9  0.0050
 6559.2  0.0050
 6563.6  0.0050
 6567.9  0.0047
 6572.2  0.0049
 6576.6  0.0050
 6580.9  0.0053
 6585.2  0.0051
 6589.5  0.0052
 6593.9  0.0053
 6598.2  0.0051
 6602.5  0.0051
 6606.9  0.0051
 6611.2  0.0053
 6615.5  0.0054
 6619.9  0.0051
 6624.2  0.0053
 6628.5  0.0052
 6632.9  0.0051
 6637.2  0.0050
 6641.5  0.0052
 6645.9  0.0050
 6650.2  0.0053
 6654.6  0.0050
 6658.9  0.0051
 6663.2  0.0056
 6667.6  0.0053
 6671.9  0.0055
 6676.2  0.0052
 6680.6  0.0053
 6684.9  0.0051
 6689.3  0.0055
 6693.6  0.0055
 6697.9  0.0052
 6702.3  0.0055
 6706.6  0.0056
 6711.0  0.0056
 6715.3  0.0052
 6719.6  0.0055
 6724.0  0.0053
 6728.3  0.0055
 6732.7  0.0055
 6737.0  0.0056
 6741.4  0.0055
 6745.7  0.0055
 6750.0  0.0059
 6754.4  0.0059
 6758.7  0.0055
 6763.1  0.0056
 6767.4  0.0058
 6771.8  0.0057
 6776.1  0.0059
 6780.5  0.0058
 6784.8  0.0056
 6789.2  0.0058
 6793.5  0.0058
 6797.9  0.0059
 6802.2  0.0058
 6806.6  0.0060
 6810.9  0.0060
 6815.3  0.0060
 6819.6  0.0061
 6824.0  0.0066
 6828.3  0.0063
 6832.7  0.0062
 6837.0  0.0065
 6841.4  0.0066
 6845.7  0.0069
 6850.1  0.0070
 6854.4  0.0069
 6858.8  0.0072
 6863.1  0.0075
 6867.5  0.0078
 6871.8  0.0083
 6876.2  0.0085
 6880.6  0.0091
 6884.9  0.0098
 6889.3  0.0106
 6893.6  0.0118
 6898.0  0.0134
 6902.3  0.0153
 6906.7  0.0180
 6911.1  0.0219
 6915.4  0.0266
 6919.8  0.0334
 6924.1  0.0425
 6928.5  0.0536
 6932.9  0.0683
 6937.2  0.0856
 6941.6  0.1069
 6945.9  0.1322
 6950.3  0.1608
 6954.7  0.1951
 6959.0  0.2340
 6963.4  0.2773
 6967.7  0.3249
 6972.1  0.3770
 6976.5  0.4318
 6980.8  0.4884
 6985.2  0.5449
 6989.6  0.5980
 6993.9  0.6463
 6998.3  0.6898
 7002.7  0.7241
 7007.0  0.7526
 7011.4  0.7752
 7015.8  0.7932
 7020.1  0.8073
 7024.5  0.8199
 7028.9  0.8307
 7033.2  0.8407
 7037.6  0.8491
 7042.0  0.8569
 7046.3  0.8641
 7050.7  0.8709
 7055.1  0.8775
 7059.4  0.8823
 7063.8  0.8872
 7068.2  0.8916
 7072.6  0.8951
 7076.9  0.8975
 7081.3  0.8988
 7085.7  0.9007
 7090.0  0.9024
 7094.4  0.9027
 7098.8  0.9031
 7103.2  0.9032
 7107.5  0.9033
 7111.9  0.9028
 7116.3  0.9024
 7120.7  0.9022
 7125.0  0.9016
 7129.4  0.9002
 7133.8  0.8983
 7138.2  0.8976
 7142.5  0.8961
 7146.9  0.8952
 7151.3  0.8942
 7155.7  0.8945
 7160.1  0.8933
 7164.4  0.8932
 7168.8  0.8931
 7173.2  0.8934
 7177.6  0.8937
 7182.0  0.8936
 7186.3  0.8941
 7190.7  0.8950
 7195.1  0.8950
 7199.5  0.8958
 7203.9  0.8963
 7208.2  0.8958
 7212.6  0.8968
 7217.0  0.8972
 7221.4  0.8972
 7225.8  0.8994
 7230.2  0.9000
 7234.5  0.9018
 7238.9  0.9030
 7243.3  0.9047
 7247.7  0.9063
 7252.1  0.9082
 7256.5  0.9099
 7260.8  0.9113
 7265.2  0.9130
 7269.6  0.9141
 7274.0  0.9155
 7278.4  0.9167
 7282.8  0.9183
 7287.2  0.9184
 7291.6  0.9195
 7296.0  0.9201
 7300.3  0.9207
 7304.7  0.9203
 7309.1  0.9208
 7313.5  0.9210
 7317.9  0.9214
 7322.3  0.9209
 7326.7  0.9205
 7331.1  0.9204
 7335.5  0.9203
 7339.9  0.9200
 7344.2  0.9200
 7348.6  0.9196
 7353.0  0.9198
 7357.4  0.9194
 7361.8  0.9193
 7366.2  0.9187
 7370.6  0.9184
 7375.0  0.9192
 7379.4  0.9183
 7383.8  0.9189
 7388.2  0.9202
 7392.6  0.9191
 7397.0  0.9199
 7401.4  0.9209
 7405.8  0.9210
 7410.2  0.9208
 7414.6  0.9213
 7419.0  0.9207
 7423.4  0.9215
 7427.8  0.9205
 7432.2  0.9200
 7436.6  0.9201
 7441.0  0.9187
 7445.4  0.9189
 7449.8  0.9186
 7454.2  0.9184
 7458.6  0.9179
 7463.0  0.9172
 7467.4  0.9172
 7471.8  0.9178
 7476.2  0.9169
 7480.6  0.9166
 7485.0  0.9176
 7489.4  0.9171
 7493.8  0.9175
 7498.2  0.9183
 7502.6  0.9180
 7507.0  0.9185
 7511.4  0.9179
 7515.8  0.9182
 7520.2  0.9189
 7524.6  0.9192
 7529.0  0.9191
 7533.4  0.9196
 7537.9  0.9188
 7542.3  0.9190
 7546.7  0.9198
