# wavelength[angstrom]  transmittance
 8160.0 -0.0019
 8180.0  0.0071
 8200.0 -0.0014
 8220.0  0.0034
 8240.0 -0.0019
 8260.0 -0.0043
 8280.0  0.0106
 8300.0  0.0060
 8320.0  0.0069
 8340.0  0.0077
 8360.0  0.0095
 8380.0  0.0150
 8400.0  0.0356
 8420.0  0.0565
 8440.0  0.0923
 8460.0  0.1395
 8480.0  0.2168
 8500.0  0.3198
 8520.0  0.4304
 8540.0  0.5662
 8560.0  0.6806
 8580.0  0.7831
 8600.0  0.8660
 8620.0  0.9189
 8640.0  0.9550
 8660.0  0.9722
 8680.0  0.9813
 8700.0  0.9825
 8720.0  0.9841
 8740.0  0.9849
 8760.0  0.9849
 8780.0  0.9860
 8800.0  0.9843
 8820.0  0.9836
 8840.0  0.9823
 8860.0  0.9870
 8880.0  0.9893
 8900.0  0.9880
 8920.0  0.9892
 8940.0  0.9842
 8960.0  0.9830
 8980.0  0.9855
 9000.0  0.9840
 9020.0  0.9858
 9040.0  0.9816
 9060.0  0.9774
 9080.0  0.9796
 9100.0  0.9792
 9120.0  0.9808
 9140.0  0.9807
 9160.0  0.9746
 9180.0  0.9667
 9200.0  0.9521
 9220.0  0.9248
 9240.0  0.8835
 9260.0  0.8174
 9280.0  0.7311
 9300.0  0.6275
 9320.0  0.5090
 9340.0  0.3918
 9360.0  0.2827
 9380.0  0.1891
 9400.0  0.1192
 9420.0  0.0727
 9440.0  0.0430
 9460.0  0.0262
 9480.0  0.0173
 9500.0  0.0090
 9520.0  0.0050
 9540.0  0.0028
 9560.0  0.0003
 9580.0  0.0013
 9600.0 -0.0006
 9620.0 -0.0001
 9640.0  0.0010
 9660.0  0.0009
