# wavelength[angstrom]  transmittance
 7002.7  0.0000
 7007.0  0.0000
 7011.4  0.0000
 7015.8  0.0000
 7020.1  0.0000
 7024.5  0.0000
 7028.9  0.0000
 7033.2  0.0000
 7037.6  0.0000
 7042.0  0.0000
 7046.3  0.0000
 7050.7  0.0000
 7055.1  0.0000
 7059.4  0.0000
 7063.8  0.0000
 7068.2  0.0000
 7072.6  0.0000
 7076.9  0.0000
 7081.3  0.0000
 7085.7  0.0000
 7090.0  0.0000
 7094.4  0.0000
 7098.8  0.0000
 7103.2  0.0000
 7107.5  0.0000
 7111.9  0.0000
 7116.3  0.0000
 7120.7  0.0000
 7125.0  0.0000
 7129.4  0.0000
 7133.8  0.0000
 7138.2  0.0000
 7142.5  0.0000
 7146.9  0.0000
 7151.3  0.0000
 7155.7  0.0000
 7160.1  0.0000
 7164.4  0.0000
 7168.8  0.0000
 7173.2  0.0000
 7177.6  0.0000
 7182.0  0.0000
 7186.3  0.0000
 7190.7  0.0000
 7195.1  0.0000
 7199.5  0.0000
 7203.9  0.0000
 7208.2  0.0000
 7212.6  0.0000
 7217.0  0.0000
 7221.4  0.0000
 7225.8  0.0000
 7230.2  0.0000
 7234.5  0.0000
 7238.9  0.0000
 7243.3  0.0000
 7247.7  0.0000
 7252.1  0.0000
 7256.5  0.0000
 7260.8  0.0000
 7265.2  0.0000
 7269.6  0.0000
 7274.0  0.0000
 7278.4  0.0000
 7282.8  0.0000
 7287.2  0.0000
 7291.6  0.0000
 7296.0  0.0000
 7300.3  0.0000
 7304.7  0.0000
 7309.1  0.0000
 7313.5  0.0000
 7317.9  0.0000
 7322.3  0.0000
 7326.7  0.0000
 7331.1  0.0000
 7335.5  0.0000
 7339.9  0.0000
 7344.2  0.0000
 7348.6  0.0000
 7353.0  0.0000
 7357.4  0.0000
 7361.8  0.0000
 7366.2  0.0000
 7370.6  0.0000
 7375.0  0.0000
 7379.4  0.0000
 7383.8  0.0000
 7388.2  0.0000
 7392.6  0.0000
 7397.0  0.0000
 7401.4  0.0000
 7405.8  0.0000
 7410.2  0.0000
 7414.6  0.0000
 7419.0  0.0000
 7423.4  0.0000
 7427.8  0.0000
 7432.2  0.0000
 7436.6  0.0000
 7441.0  0.0000
 7445.4  0.0000
 7449.8  0.0000
 7454.2  0.0000
 7458.6  0.0000
 7463.0  0.0000
 7467.4  0.0000
 7471.8  0.0000
 7476.2  0.0000
 7480.6  0.0000
 7485.0  0.0000
 7489.4  0.0000
 7493.8  0.0000
 7498.2  0.0000
 7502.6  0.0000
 7507.0  0.0000
 7511.4  0.0000
 7515.8  0.0000
 7520.2  0.0000
 7524.6  0.0000
 7529.0  0.0000
 7533.4  0.0000
 7537.9  0.0000
 7542.3  0.0000
 7546.7  0.0000
 7551.1  0.0000
 7555.5  0.0000
 7559.9  0.0000
 7564.3  0.0000
 7568.7  0.0000
 7573.1  0.0000
 7577.5  0.0000
 7581.9  0.0000
 7586.4  0.0000
 7590.8  0.0000
 7595.2  0.0000
 7599.6  0.0000
 7604.0  0.0000
 7608.4  0.0000
 7612.8  0.0000
 7617.2  0.0000
 7621.7  0.0000
 7626.1  0.0000
 7630.5  0.0000
 7634.9  0.0000
 7639.3  0.0000
 7643.7  0.0000
 7648.1  0.0000
 7652.6  0.0000
 7657.0  0.0000
 7661.4  0.0000
 7665.8  0.0000
 7670.2  0.0000
 7674.6  0.0000
 7679.1  0.0000
 7683.5  0.0000
 7687.9  0.0000
 7692.3  0.0000
 7696.7  0.0000
 7701.1  0.0000
 7705.6  0.0000
 7710.0  0.0000
 7714.4  0.0000
 7718.8  0.0000
 7723.2  0.0000
 7727.7  0.0000
 7732.1  0.0000
 7736.5  0.0000
 7740.9  0.0000
 7745.4  0.0000
 7749.8  0.0000
 7754.2  0.0000
 7758.6  0.0000
 7763.0  0.0000
 7767.5  0.0000
 7771.9  0.0000
 7776.3  0.0000
 7780.7  0.0000
 7785.2  0.0000
 7789.6  0.0000
 7794.0  0.0000
 7798.4  0.0000
 7802.9  0.0000
 7807.3  0.0000
 7811.7  0.0000
 7816.1  0.0000
 7820.6  0.0000
 7825.0  0.0000
 7829.4  0.0000
 7833.9  0.0000
 7838.3  0.0000
 7842.7  0.0000
 7847.1  0.0000
 7851.6  0.0000
 7856.0  0.0000
 7860.4  0.0000
 7864.9  0.0000
 7869.3  0.0000
 7873.7  0.0000
 7878.2  0.0000
 7882.6  0.0000
 7887.0  0.0000
 7891.5  0.0000
 7895.9  0.0000
 7900.3  0.0000
 7904.8  0.0000
 7909.2  0.0000
 7913.6  0.0000
 7918.1  0.0000
 7922.5  0.0000
 7926.9  0.0000
 7931.4  0.0000
 7935.8  0.0000
 7940.2  0.0000
 7944.7  0.0000
 7949.1  0.0000
 7953.5  0.0000
 7958.0  0.0000
 7962.4  0.0000
 7966.8  0.0000
 7971.3  0.0000
 7975.7  0.0000
 7980.2  0.0000
 7984.6  0.0000
 7989.0  0.0000
 7993.5  0.0000
 7997.9  0.0011
 8002.4  0.0016
 8006.8  0.0013
 8011.2  0.0012
 8015.7  0.0020
 8020.1  0.0029
 8024.6  0.0033
 8029.0  0.0025
 8033.4  0.0020
 8037.9  0.0028
 8042.3  0.0044
 8046.8  0.0060
 8051.2  0.0076
 8055.7  0.0091
 8060.1  0.0116
 8064.5  0.0159
 8069.0  0.0221
 8073.4  0.0309
 8077.9  0.0445
 8082.3  0.0651
 8086.8  0.0938
 8091.2  0.1310
 8095.7  0.1776
 8100.1  0.2333
 8104.6  0.2964
 8109.0  0.3650
 8113.4  0.4383
 8117.9  0.5173
 8122.3  0.6006
 8126.8  0.6828
 8131.2  0.7570
 8135.7  0.8173
 8140.1  0.8618
 8144.6  0.8896
 8149.0  0.9022
 8153.5  0.9062
 8157.9  0.9071
 8162.4  0.9062
 8166.8  0.9042
 8171.3  0.9024
 8175.7  0.8994
 8180.2  0.8939
 8184.6  0.8835
 8189.1  0.8651
 8193.5  0.8394
 8198.0  0.8073
 8202.5  0.7666
 8206.9  0.7172
 8211.4  0.6621
 8215.8  0.5999
 8220.3  0.5282
 8224.7  0.4487
 8229.2  0.3638
 8233.6  0.2782
 8238.1  0.2015
 8242.5  0.1412
 8247.0  0.0974
 8251.4  0.0664
 8255.9  0.0459
 8260.4  0.0331
 8264.8  0.0237
 8269.3  0.0164
 8273.7  0.0124
 8278.2  0.0115
 8282.6  0.0113
 8287.1  0.0093
 8291.6  0.0062
 8296.0  0.0042
 8300.5  0.0035
 8304.9  0.0031
 8309.4  0.0034
 8313.9  0.0035
 8318.3  0.0030
 8322.8  0.0029
 8327.2  0.0028
 8331.7  0.0016
 8336.2  0.0000
 8340.6  0.0000
 8345.1  0.0000
 8349.5  0.0000
 8354.0  0.0000
 8358.5  0.0000
 8362.9  0.0000
 8367.4  0.0000
 8371.9  0.0000
 8376.3  0.0000
 8380.8  0.0000
 8385.3  0.0000
 8389.7  0.0000
 8394.2  0.0000
 8398.6  0.0000
 8403.1  0.0000
 8407.6  0.0000
 8412.0  0.0000
 8416.5  0.0000
 8421.0  0.0000
 8425.4  0.0000
 8429.9  0.0000
 8434.4  0.0000
 8438.8  0.0000
 8443.3  0.0000
 8447.8  0.0000
 8452.2  0.0000
 8456.7  0.0000
 8461.2  0.0000
 8465.7  0.0000
 8470.1  0.0000
 8474.6  0.0000
 8479.1  0.0000
 8483.5  0.0000
 8488.0  0.0000
 8492.5  0.0000
 8496.9  0.0000
 8501.4  0.0000
 8505.9  0.0000
 8510.4  0.0000
 8514.8  0.0000
 8519.3  0.0000
 8523.8  0.0000
 8528.2  0.0000
 8532.7  0.0000
 8537.2  0.0000
 8541.7  0.0000
 8546.1  0.0000
 8550.6  0.0000
 8555.1  0.0000
 8559.6  0.0000
 8564.0  0.0000
 8568.5  0.0000
 8573.0  0.0000
 8577.5  0.0000
 8581.9  0.0000
 8586.4  0.0000
 8590.9  0.0000
 8595.4  0.0000
 8599.8  0.0000
 8604.3  0.0000
 8608.8  0.0000
 8613.3  0.0000
 8617.8  0.0000
 8622.2  0.0000
 8626.7  0.0000
 8631.2  0.0000
 8635.7  0.0000
 8640.1  0.0000
 8644.6  0.0000
 8649.1  0.0000
 8653.6  0.0000
 8658.1  0.0000
 8662.5  0.0000
 8667.0  0.0000
 8671.5  0.0000
 8676.0  0.0000
 8680.5  0.0000
 8684.9  0.0000
 8689.4  0.0000
 8693.9  0.0000
 8698.4  0.0000
 8702.9  0.0000
 8707.4  0.0000
 8711.8  0.0000
 8716.3  0.0000
 8720.8  0.0000
 8725.3  0.0000
 8729.8  0.0000
 8734.3  0.0000
 8738.7  0.0000
 8743.2  0.0000
 8747.7  0.0000
 8752.2  0.0000
 8756.7  0.0000
 8761.2  0.0000
 8765.7  0.0000
 8770.1  0.0000
 8774.6  0.0000
 8779.1  0.0000
 8783.6  0.0000
 8788.1  0.0000
 8792.6  0.0000
 8797.1  0.0000
 8801.6  0.0000
 8806.0  0.0000
 8810.5  0.0000
 8815.0  0.0000
 8819.5  0.0000
 8824.0  0.0000
 8828.5  0.0000
 8833.0  0.0000
 8837.5  0.0000
 8842.0  0.0000
 8846.4  0.0000
 8850.9  0.0000
 8855.4  0.0000
 8859.9  0.0000
 8864.4  0.0000
 8868.9  0.0000
 8873.4  0.0000
 8877.9  0.0000
 8882.4  0.0000
 8886.9  0.0000
 8891.4  0.0000
 8895.8  0.0000
 8900.3  0.0000
 8904.8  0.0000
 8909.3  0.0000
 8913.8  0.0000
 8918.3  0.0000
 8922.8  0.0000
 8927.3  0.0000
 8931.8  0.0000
 8936.3  0.0000
 8940.8  0.0000
 8945.3  0.0000
 8949.8  0.0000
 8954.3  0.0000
 8958.8  0.0000
 8963.3  0.0000
 8967.8  0.0000
 8972.3  0.0000
 8976.8  0.0000
 8981.3  0.0000
 8985.7  0.0000
 8990.2  0.0000
 8994.7  0.0000
 8999.2  0.0000
