# wavelength[angstrom]  transmittance
 6400.0 -0.0003
 6420.0 -0.0005
 6440.0 -0.0006
 6460.0 -0.0003
 6480.0 -0.0006
 6500.0 -0.0008
 6520.0 -0.0002
 6540.0 -0.0001
 6560.0 -0.0001
 6580.0  0.0000
 6600.0 -0.0002
 6620.0 -0.0002
 6640.0  0.0003
 6660.0  0.0006
 6680.0  0.0011
 6700.0  0.0014
 6720.0  0.0019
 6740.0  0.0028
 6760.0  0.0044
 6780.0  0.0072
 6800.0  0.0114
 6820.0  0.0188
 6840.0  0.0312
 6860.0  0.0514
 6880.0  0.0836
 6900.0  0.1340
 6920.0  0.2102
 6940.0  0.3146
 6960.0  0.4445
 6980.0  0.5862
 7000.0  0.7128
 7020.0  0.8109
 7040.0  0.8745
 7060.0  0.9108
 7080.0  0.9294
 7100.0  0.9359
 7120.0  0.9400
 7140.0  0.9448
 7160.0  0.9492
 7180.0  0.9507
 7200.0  0.9490
 7220.0  0.9464
 7240.0  0.9476
 7260.0  0.9484
 7280.0  0.9492
 7300.0  0.9501
 7320.0  0.9486
 7340.0  0.9478
 7360.0  0.9470
 7380.0  0.9501
 7400.0  0.9496
 7420.0  0.9509
 7440.0  0.9492
 7460.0  0.9419
 7480.0  0.9428
 7500.0  0.9443
 7520.0  0.9438
 7540.0  0.9458
 7560.0  0.9462
 7580.0  0.9432
 7600.0  0.9384
 7620.0  0.9355
 7640.0  0.9360
 7660.0  0.9329
 7680.0  0.9319
 7700.0  0.9308
 7720.0  0.9310
 7740.0  0.9354
 7760.0  0.9384
 7780.0  0.9431
 7800.0  0.9452
 7820.0  0.9464
 7840.0  0.9540
 7860.0  0.9561
 7880.0  0.9497
 7900.0  0.9439
 7920.0  0.9449
 7940.0  0.9498
 7960.0  0.9507
 7980.0  0.9502
 8000.0  0.9469
 8020.0  0.9427
 8040.0  0.9464
 8060.0  0.9502
 8080.0  0.9502
 8100.0  0.9491
 8120.0  0.9464
 8140.0  0.9403
 8160.0  0.9408
 8180.0  0.9380
 8200.0  0.9384
 8220.0  0.9435
 8240.0  0.9402
 8260.0  0.9470
 8280.0  0.9542
 8300.0  0.9504
 8320.0  0.9416
 8340.0  0.9292
 8360.0  0.9001
 8380.0  0.8448
 8400.0  0.7535
 8420.0  0.6328
 8440.0  0.4916
 8460.0  0.3854
 8480.0  0.3057
 8500.0  0.2576
 8520.0  0.1953
 8540.0  0.1448
 8560.0  0.1151
 8580.0  0.0702
 8600.0  0.0517
 8620.0  0.0405
 8640.0  0.0334
 8660.0  0.0072
 8680.0  0.0205
 8700.0 -0.0110
 8720.0  0.0092
 8740.0 -0.0072
 8760.0  0.0088
 8780.0  0.0022
 8800.0  0.0010
 8820.0  0.0090
 8840.0 -0.0061
 8860.0  0.0007
 8880.0  0.0026
 8900.0  0.0033
 8920.0 -0.0047
 8940.0 -0.0050
 8960.0  0.0048
 8980.0  0.0031
 9000.0  0.0021
