# wavelength[angstrom]  transmittance
 5000.0 -0.0001
 5020.0 -0.0001
 5040.0 -0.0001
 5060.0  0.0001
 5080.0  0.0002
 5100.0 -0.0003
 5120.0  0.0000
 5140.0  0.0005
 5160.0 -0.0008
 5180.0 -0.0011
 5200.0 -0.0003
 5220.0 -0.0001
 5240.0 -0.0001
 5260.0  0.0003
 5280.0  0.0009
 5300.0  0.0029
 5320.0  0.0074
 5340.0  0.0168
 5360.0  0.0442
 5380.0  0.1170
 5400.0  0.2561
 5420.0  0.4490
 5440.0  0.6418
 5460.0  0.7639
 5480.0  0.8021
 5500.0  0.8017
 5520.0  0.8092
 5540.0  0.8363
 5560.0  0.8719
 5580.0  0.9042
 5600.0  0.9265
 5620.0  0.9387
 5640.0  0.9484
 5660.0  0.9595
 5680.0  0.9647
 5700.0  0.9630
 5720.0  0.9596
 5740.0  0.9534
 5760.0  0.9382
 5780.0  0.9211
 5800.0  0.9181
 5820.0  0.9318
 5840.0  0.9481
 5860.0  0.9510
 5880.0  0.9307
 5900.0  0.8951
 5920.0  0.8669
 5940.0  0.8664
 5960.0  0.8917
 5980.0  0.9224
 6000.0  0.9439
 6020.0  0.9559
 6040.0  0.9573
 6060.0  0.9482
 6080.0  0.9359
 6100.0  0.9319
 6120.0  0.9435
 6140.0  0.9581
 6160.0  0.9608
 6180.0  0.9543
 6200.0  0.9509
 6220.0  0.9549
 6240.0  0.9584
 6260.0  0.9568
 6280.0  0.9530
 6300.0  0.9534
 6320.0  0.9592
 6340.0  0.9618
 6360.0  0.9565
 6380.0  0.9466
 6400.0  0.9337
 6420.0  0.9218
 6440.0  0.9197
 6460.0  0.9246
 6480.0  0.9322
 6500.0  0.9377
 6520.0  0.9290
 6540.0  0.9106
 6560.0  0.8998
 6580.0  0.9008
 6600.0  0.9108
 6620.0  0.9250
 6640.0  0.9342
 6660.0  0.9356
 6680.0  0.9406
 6700.0  0.9508
 6720.0  0.9563
 6740.0  0.9577
 6760.0  0.9544
 6780.0  0.9471
 6800.0  0.9402
 6820.0  0.9349
 6840.0  0.9376
 6860.0  0.9431
 6880.0  0.9464
 6900.0  0.9419
 6920.0  0.9050
 6940.0  0.8119
 6960.0  0.6540
 6980.0  0.4502
 7000.0  0.2533
 7020.0  0.1149
 7040.0  0.0429
 7060.0  0.0147
 7080.0  0.0054
 7100.0  0.0019
 7120.0  0.0006
 7140.0  0.0006
 7160.0  0.0009
 7180.0  0.0006
 7200.0  0.0001
 7220.0  0.0000
 7240.0  0.0001
 7260.0 -0.0001
 7280.0 -0.0004
 7300.0  0.0003
 7320.0  0.0013
 7340.0  0.0013
 7360.0  0.0010
 7380.0  0.0012
 7400.0  0.0011
 7420.0  0.0015
 7440.0  0.0009
 7460.0  0.0001
 7480.0  0.0016
 7500.0  0.0029
