# wavelength[angstrom]  transmittance
 5001.9  0.0097
 5006.1  0.0098
 5010.3  0.0097
 5014.4  0.0094
 5018.6  0.0095
 5022.8  0.0100
 5027.0  0.0098
 5031.1  0.0094
 5035.3  0.0097
 5039.5  0.0098
 5043.7  0.0100
 5047.9  0.0099
 5052.1  0.0097
 5056.2  0.0096
 5060.4  0.0094
 5064.6  0.0099
 5068.8  0.0099
 5073.0  0.0095
 5077.2  0.0098
 5081.4  0.0097
 5085.5  0.0097
 5089.7  0.0096
 5093.9  0.0099
 5098.1  0.0095
 5102.3  0.0100
 5106.5  0.0098
 5110.7  0.0100
 5114.9  0.0100
 5119.0  0.0101
 5123.2  0.0100
 5127.4  0.0096
 5131.6  0.0098
 5135.8  0.0101
 5140.0  0.0102
 5144.2  0.0101
 5148.4  0.0101
 5152.6  0.0100
 5156.8  0.0099
 5161.0  0.0098
 5165.2  0.0103
 5169.4  0.0102
 5173.6  0.0107
 5177.7  0.0103
 5181.9  0.0101
 5186.1  0.0101
 5190.3  0.0098
 5194.5  0.0100
 5198.7  0.0103
 5202.9  0.0099
 5207.1  0.0105
 5211.3  0.0102
 5215.5  0.0100
 5219.7  0.0103
 5223.9  0.0103
 5228.1  0.0103
 5232.3  0.0104
 5236.5  0.0105
 5240.7  0.0105
 5244.9  0.0106
 5249.1  0.0108
 5253.3  0.0105
 5257.6  0.0108
 5261.8  0.0105
 5266.0  0.0106
 5270.2  0.0109
 5274.4  0.0112
 5278.6  0.0113
 5282.8  0.0114
 5287.0  0.0117
 5291.2  0.0118
 5295.4  0.0116
 5299.6  0.0124
 5303.8  0.0124
 5308.0  0.0127
 5312.2  0.0130
 5316.5  0.0132
 5320.7  0.0144
 5324.9  0.0147
 5329.1  0.0154
 5333.3  0.0158
 5337.5  0.0170
 5341.7  0.0176
 5345.9  0.0182
 5350.2  0.0196
 5354.4  0.0208
 5358.6  0.0216
 5362.8  0.0231
 5367.0  0.0243
 5371.2  0.0262
 5375.4  0.0281
 5379.7  0.0307
 5383.9  0.0334
 5388.1  0.0366
 5392.3  0.0411
 5396.5  0.0460
 5400.8  0.0520
 5405.0  0.0591
 5409.2  0.0682
 5413.4  0.0780
 5417.6  0.0898
 5421.9  0.1035
 5426.1  0.1183
 5430.3  0.1355
 5434.5  0.1549
 5438.7  0.1754
 5443.0  0.1991
 5447.2  0.2244
 5451.4  0.2530
 5455.6  0.2842
 5459.9  0.3187
 5464.1  0.3560
 5468.3  0.3970
 5472.5  0.4417
 5476.8  0.4891
 5481.0  0.5380
 5485.2  0.5893
 5489.4  0.6398
 5493.7  0.6893
 5497.9  0.7366
 5502.1  0.7812
 5506.4  0.8201
 5510.6  0.8537
 5514.8  0.8817
 5519.1  0.9042
 5523.3  0.9214
 5527.5  0.9342
 5531.7  0.9434
 5536.0  0.9492
 5540.2  0.9543
 5544.4  0.9589
 5548.7  0.9617
 5552.9  0.9641
 5557.1  0.9656
 5561.4  0.9667
 5565.6  0.9684
 5569.9  0.9683
 5574.1  0.9674
 5578.3  0.9697
 5582.6  0.9698
 5586.8  0.9705
 5591.0  0.9704
 5595.3  0.9705
 5599.5  0.9701
 5603.8  0.9703
 5608.0  0.9710
 5612.2  0.9718
 5616.5  0.9725
 5620.7  0.9722
 5625.0  0.9733
 5629.2  0.9733
 5633.4  0.9729
 5637.7  0.9738
 5641.9  0.9734
 5646.2  0.9730
 5650.4  0.9734
 5654.7  0.9731
 5658.9  0.9725
 5663.1  0.9723
 5667.4  0.9725
 5671.6  0.9724
 5675.9  0.9713
 5680.1  0.9713
 5684.4  0.9706
 5688.6  0.9705
 5692.9  0.9703
 5697.1  0.9698
 5701.4  0.9709
 5705.6  0.9700
 5709.9  0.9708
 5714.1  0.9710
 5718.4  0.9716
 5722.6  0.9721
 5726.9  0.9725
 5731.1  0.9731
 5735.4  0.9739
 5739.6  0.9749
 5743.9  0.9753
 5748.1  0.9756
 5752.4  0.9757
 5756.6  0.9763
 5760.9  0.9759
 5765.2  0.9764
 5769.4  0.9764
 5773.7  0.9758
 5777.9  0.9762
 5782.2  0.9753
 5786.4  0.9756
 5790.7  0.9756
 5794.9  0.9760
 5799.2  0.9752
 5803.5  0.9757
 5807.7  0.9753
 5812.0  0.9750
 5816.2  0.9760
 5820.5  0.9758
 5824.8  0.9763
 5829.0  0.9770
 5833.3  0.9769
 5837.5  0.9768
 5841.8  0.9774
 5846.1  0.9770
 5850.3  0.9773
 5854.6  0.9767
 5858.9  0.9763
 5863.1  0.9749
 5867.4  0.9756
 5871.7  0.9757
 5875.9  0.9745
 5880.2  0.9749
 5884.5  0.9750
 5888.7  0.9752
 5893.0  0.9741
 5897.3  0.9746
 5901.5  0.9748
 5905.8  0.9745
 5910.1  0.9751
 5914.3  0.9755
 5918.6  0.9755
 5922.9  0.9755
 5927.1  0.9758
 5931.4  0.9757
 5935.7  0.9758
 5940.0  0.9759
 5944.2  0.9761
 5948.5  0.9749
 5952.8  0.9752
 5957.0  0.9751
 5961.3  0.9746
 5965.6  0.9744
 5969.9  0.9745
 5974.1  0.9745
 5978.4  0.9741
 5982.7  0.9742
 5987.0  0.9748
 5991.3  0.9742
 5995.5  0.9744
 5999.8  0.9748
 6004.1  0.9754
 6008.4  0.9763
 6012.6  0.9758
 6016.9  0.9768
 6021.2  0.9766
 6025.5  0.9766
 6029.8  0.9759
 6034.0  0.9757
 6038.3  0.9748
 6042.6  0.9757
 6046.9  0.9741
 6051.2  0.9737
 6055.4  0.9742
 6059.7  0.9730
 6064.0  0.9731
 6068.3  0.9729
 6072.6  0.9733
 6076.9  0.9732
 6081.2  0.9732
 6085.4  0.9741
 6089.7  0.9746
 6094.0  0.9755
 6098.3  0.9757
 6102.6  0.9760
 6106.9  0.9764
 6111.2  0.9765
 6115.4  0.9768
 6119.7  0.9763
 6124.0  0.9757
 6128.3  0.9763
 6132.6  0.9755
 6136.9  0.9753
 6141.2  0.9751
 6145.5  0.9744
 6149.8  0.9748
 6154.1  0.9748
 6158.4  0.9746
 6162.6  0.9748
 6166.9  0.9751
 6171.2  0.9757
 6175.5  0.9764
 6179.8  0.9776
 6184.1  0.9773
 6188.4  0.9776
 6192.7  0.9777
 6197.0  0.9781
 6201.3  0.9775
 6205.6  0.9787
 6209.9  0.9780
 6214.2  0.9770
 6218.5  0.9777
 6222.8  0.9773
 6227.1  0.9767
 6231.4  0.9768
 6235.7  0.9766
 6240.0  0.9777
 6244.3  0.9778
 6248.6  0.9765
 6252.9  0.9774
 6257.2  0.9770
 6261.5  0.9769
 6265.8  0.9777
 6270.1  0.9764
 6274.4  0.9767
 6278.7  0.9759
 6283.0  0.9765
 6287.3  0.9759
 6291.6  0.9750
 6295.9  0.9755
 6300.2  0.9748
 6304.5  0.9751
 6308.8  0.9755
 6313.1  0.9754
 6317.4  0.9768
 6321.7  0.9759
 6326.1  0.9761
 6330.4  0.9764
 6334.7  0.9767
 6339.0  0.9764
 6343.3  0.9767
 6347.6  0.9766
 6351.9  0.9767
 6356.2  0.9750
 6360.5  0.9756
 6364.8  0.9746
 6369.2  0.9745
 6373.5  0.9750
 6377.8  0.9741
 6382.1  0.9743
 6386.4  0.9740
 6390.7  0.9744
 6395.0  0.9754
 6399.3  0.9751
 6403.7  0.9749
 6408.0  0.9757
 6412.3  0.9768
 6416.6  0.9770
 6420.9  0.9770
 6425.2  0.9770
 6429.6  0.9772
 6433.9  0.9765
 6438.2  0.9771
 6442.5  0.9763
 6446.8  0.9763
 6451.1  0.9766
 6455.5  0.9764
 6459.8  0.9763
 6464.1  0.9765
 6468.4  0.9763
 6472.7  0.9761
 6477.1  0.9767
 6481.4  0.9775
 6485.7  0.9770
 6490.0  0.9779
 6494.4  0.9785
 6498.7  0.9789
 6503.0  0.9790
 6507.3  0.9789
 6511.6  0.9796
 6516.0  0.9797
 6520.3  0.9795
 6524.6  0.9807
 6528.9  0.9800
 6533.3  0.9803
 6537.6  0.9801
 6541.9  0.9811
 6546.3  0.9805
 6550.6  0.9804
 6554.9  0.9806
 6559.2  0.9799
 6563.6  0.9807
 6567.9  0.9800
 6572.2  0.9796
 6576.6  0.9796
 6580.9  0.9795
 6585.2  0.9793
 6589.5  0.9790
 6593.9  0.9787
 6598.2  0.9797
 6602.5  0.9793
 6606.9  0.9800
 6611.2  0.9793
 6615.5  0.9800
 6619.9  0.9789
 6624.2  0.9798
 6628.5  0.9800
 6632.9  0.9799
 6637.2  0.9804
 6641.5  0.9805
 6645.9  0.9799
 6650.2  0.9797
 6654.6  0.9800
 6658.9  0.9790
 6663.2  0.9796
 6667.6  0.9790
 6671.9  0.9778
 6676.2  0.9775
 6680.6  0.9778
 6684.9  0.9767
 6689.3  0.9774
 6693.6  0.9774
 6697.9  0.9770
 6702.3  0.9768
 6706.6  0.9781
 6711.0  0.9776
 6715.3  0.9784
 6719.6  0.9788
 6724.0  0.9785
 6728.3  0.9790
 6732.7  0.9788
 6737.0  0.9794
 6741.4  0.9786
 6745.7  0.9790
 6750.0  0.9783
 6754.4  0.9784
 6758.7  0.9784
 6763.1  0.9785
 6767.4  0.9780
 6771.8  0.9783
 6776.1  0.9791
 6780.5  0.9786
 6784.8  0.9787
 6789.2  0.9791
 6793.5  0.9801
 6797.9  0.9792
 6802.2  0.9797
 6806.6  0.9801
 6810.9  0.9799
 6815.3  0.9796
 6819.6  0.9798
 6824.0  0.9795
 6828.3  0.9790
 6832.7  0.9789
 6837.0  0.9800
 6841.4  0.9798
 6845.7  0.9798
 6850.1  0.9795
 6854.4  0.9797
 6858.8  0.9795
 6863.1  0.9798
 6867.5  0.9796
 6871.8  0.9800
 6876.2  0.9791
 6880.6  0.9790
 6884.9  0.9776
 6889.3  0.9772
 6893.6  0.9751
 6898.0  0.9723
 6902.3  0.9681
 6906.7  0.9636
 6911.1  0.9561
 6915.4  0.9467
 6919.8  0.9355
 6924.1  0.9220
 6928.5  0.9052
 6932.9  0.8855
 6937.2  0.8637
 6941.6  0.8386
 6945.9  0.8104
 6950.3  0.7802
 6954.7  0.7467
 6959.0  0.7134
 6963.4  0.6774
 6967.7  0.6411
 6972.1  0.6042
 6976.5  0.5670
 6980.8  0.5298
 6985.2  0.4929
 6989.6  0.4570
 6993.9  0.4209
 6998.3  0.3859
 7002.7  0.3515
 7007.0  0.3177
 7011.4  0.2846
 7015.8  0.2538
