# wavelength[angstrom]  transmittance
 9000.0  0.0011
 9020.0  0.0042
 9040.0  0.0106
 9060.0  0.0106
 9080.0  0.0107
 9100.0  0.0147
 9120.0  0.0113
 9140.0  0.0203
 9160.0  0.0228
 9180.0  0.0314
 9200.0  0.0495
 9220.0  0.0748
 9240.0  0.1185
 9260.0  0.1746
 9280.0  0.2471
 9300.0  0.3329
 9320.0  0.4252
 9340.0  0.5224
 9360.0  0.6232
 9380.0  0.7143
 9400.0  0.7970
 9420.0  0.8611
 9440.0  0.9060
 9460.0  0.9396
 9480.0  0.9577
 9500.0  0.9684
 9520.0  0.9753
 9540.0  0.9728
 9560.0  0.9713
 9580.0  0.9721
 9600.0  0.9721
 9620.0  0.9742
 9640.0  0.9729
 9660.0  0.9724
 9680.0  0.9699
 9700.0  0.9700
 9720.0  0.9693
 9740.0  0.9703
 9760.0  0.9705
 9780.0  0.9705
 9800.0  0.9704
 9820.0  0.9700
 9840.0  0.9706
 9860.0  0.9709
 9880.0  0.9726
 9900.0  0.9733
 9920.0  0.9744
 9940.0  0.9742
 9960.0  0.9752
 9980.0  0.9750
10000.0  0.9753
10020.0  0.9736
10040.0  0.9709
10060.0  0.9684
10080.0  0.9674
10100.0  0.9701
10120.0  0.9716
10140.0  0.9744
10160.0  0.9754
10180.0  0.9751
10200.0  0.9758
10220.0  0.9754
10240.0  0.9752
10260.0  0.9756
10280.0  0.9753
10300.0  0.9755
10320.0  0.9753
10340.0  0.9744
10360.0  0.9740
10380.0  0.9748
10400.0  0.9754
10420.0  0.9758
10440.0  0.9759
10460.0  0.9746
10480.0  0.9737
10500.0  0.9723
10520.0  0.9704
10540.0  0.9676
10560.0  0.9603
10580.0  0.9485
10600.0  0.9303
10620.0  0.9000
10640.0  0.8587
10660.0  0.8018
10680.0  0.7289
10700.0  0.6426
10720.0  0.5463
10740.0  0.4470
10760.0  0.3509
10780.0  0.2659
10800.0  0.1932
10820.0  0.1355
10840.0  0.0923
10860.0  0.0617
10880.0  0.0416
10900.0  0.0279
10920.0  0.0189
10940.0  0.0127
10960.0  0.0077
10980.0  0.0055
11000.0  0.0047
