# wavelength[angstrom]  transmittance
 9000.0  0.0033
 8980.0  0.0004
 8960.0  0.0050
 8940.0  0.0008
 8920.0 -0.0009
 8900.0  0.0002
 8880.0  0.0078
 8860.0  0.0010
 8840.0 -0.0074
 8820.0  0.0085
 8800.0  0.0037
 8780.0  0.0041
 8760.0  0.0165
 8740.0  0.0074
 8720.0  0.0170
 8700.0  0.0112
 8680.0  0.0353
 8660.0  0.0376
 8640.0  0.0771
 8620.0  0.0959
 8600.0  0.1226
 8580.0  0.1613
 8560.0  0.2266
 8540.0  0.2812
 8520.0  0.3443
 8500.0  0.4088
 8480.0  0.4794
 8460.0  0.5505
 8440.0  0.7312
 8420.0  0.8098
 8400.0  0.8697
 8380.0  0.9068
 8360.0  0.9218
 8340.0  0.9327
 8320.0  0.9375
 8300.0  0.9400
 8280.0  0.9435
 8260.0  0.9371
 8240.0  0.9301
 8220.0  0.9325
 8200.0  0.9336
 8180.0  0.9344
 8160.0  0.9347
 8140.0  0.9334
 8120.0  0.9353
 8100.0  0.9395
 8080.0  0.9421
 8060.0  0.9396
 8040.0  0.9361
 8020.0  0.9347
 8000.0  0.9363
 7980.0  0.9347
 7960.0  0.9322
 7940.0  0.9322
 7920.0  0.9331
 7900.0  0.9348
 7880.0  0.9368
 7860.0  0.9394
 7840.0  0.9399
 7820.0  0.9358
 7800.0  0.9350
 7780.0  0.9331
 7760.0  0.9279
 7740.0  0.9242
 7720.0  0.9214
 7700.0  0.9222
 7680.0  0.9228
 7660.0  0.9230
 7640.0  0.9264
 7620.0  0.9301
 7600.0  0.9357
 7580.0  0.9382
 7560.0  0.9365
 7540.0  0.9359
 7520.0  0.9353
 7500.0  0.9357
 7480.0  0.9352
 7460.0  0.9329
 7440.0  0.9364
 7420.0  0.9383
 7400.0  0.9383
 7380.0  0.9405
 7360.0  0.9394
 7340.0  0.9400
 7320.0  0.9399
 7300.0  0.9387
 7280.0  0.9361
 7260.0  0.9351
 7240.0  0.9366
 7220.0  0.9362
 7200.0  0.9357
 7180.0  0.9347
 7160.0  0.9339
 7140.0  0.9325
 7120.0  0.9316
 7100.0  0.9310
 7080.0  0.9282
 7060.0  0.9192
 7040.0  0.8989
 7020.0  0.8606
 7000.0  0.7943
 6980.0  0.6969
 6960.0  0.5733
 6940.0  0.4424
 6920.0  0.3206
 6900.0  0.2188
 6880.0  0.1431
 6860.0  0.0915
 6840.0  0.0575
 6820.0  0.0358
 6800.0  0.0220
 6780.0  0.0137
 6760.0  0.0086
 6740.0  0.0056
 6720.0  0.0037
 6700.0  0.0027
 6680.0  0.0020
 6660.0  0.0014
 6640.0  0.0011
 6620.0  0.0006
 6600.0  0.0002
 6580.0  0.0004
 6560.0  0.0004
 6540.0  0.0005
 6520.0  0.0003
 6500.0 -0.0001
 6480.0  0.0001
 6460.0  0.0004
 6440.0  0.0002
 6420.0  0.0001
 6400.0  0.0001
