# wavelength[angstrom]  transmittance
 6503.0  0.0050
 6507.3  0.0050
 6511.6  0.0049
 6516.0  0.0049
 6520.3  0.0050
 6524.6  0.0050
 6528.9  0.0050
 6533.3  0.0049
 6537.6  0.0051
 6541.9  0.0050
 6546.3  0.0051
 6550.6  0.0051
 6554.9  0.0051
 6559.2  0.0050
 6563.6  0.0051
 6567.9  0.0051
 6572.2  0.0051
 6576.6  0.0050
 6580.9  0.0052
 6585.2  0.0052
 6589.5  0.0051
 6593.9  0.0051
 6598.2  0.0051
 6602.5  0.0051
 6606.9  0.0051
 6611.2  0.0052
 6615.5  0.0052
 6619.9  0.0052
 6624.2  0.0052
 6628.5  0.0052
 6632.9  0.0052
 6637.2  0.0053
 6641.5  0.0053
 6645.9  0.0053
 6650.2  0.0054
 6654.6  0.0054
 6658.9  0.0053
 6663.2  0.0054
 6667.6  0.0054
 6671.9  0.0054
 6676.2  0.0054
 6680.6  0.0054
 6684.9  0.0055
 6689.3  0.0055
 6693.6  0.0055
 6697.9  0.0055
 6702.3  0.0055
 6706.6  0.0055
 6711.0  0.0055
 6715.3  0.0055
 6719.6  0.0056
 6724.0  0.0055
 6728.3  0.0056
 6732.7  0.0056
 6737.0  0.0055
 6741.4  0.0057
 6745.7  0.0056
 6750.0  0.0057
 6754.4  0.0057
 6758.7  0.0057
 6763.1  0.0058
 6767.4  0.0058
 6771.8  0.0059
 6776.1  0.0059
 6780.5  0.0059
 6784.8  0.0059
 6789.2  0.0061
 6793.5  0.0060
 6797.9  0.0061
 6802.2  0.0060
 6806.6  0.0062
 6810.9  0.0062
 6815.3  0.0063
 6819.6  0.0064
 6824.0  0.0065
 6828.3  0.0065
 6832.7  0.0066
 6837.0  0.0067
 6841.4  0.0068
 6845.7  0.0069
 6850.1  0.0071
 6854.4  0.0074
 6858.8  0.0076
 6863.1  0.0079
 6867.5  0.0082
 6871.8  0.0086
 6876.2  0.0090
 6880.6  0.0096
 6884.9  0.0105
 6889.3  0.0116
 6893.6  0.0130
 6898.0  0.0148
 6902.3  0.0171
 6906.7  0.0202
 6911.1  0.0244
 6915.4  0.0299
 6919.8  0.0372
 6924.1  0.0466
 6928.5  0.0584
 6932.9  0.0732
 6937.2  0.0914
 6941.6  0.1130
 6945.9  0.1386
 6950.3  0.1684
 6954.7  0.2025
 6959.0  0.2414
 6963.4  0.2848
 6967.7  0.3324
 6972.1  0.3836
 6976.5  0.4376
 6980.8  0.4932
 6985.2  0.5487
 6989.6  0.6010
 6993.9  0.6495
 6998.3  0.6920
 7002.7  0.7277
 7007.0  0.7576
 7011.4  0.7811
 7015.8  0.8000
 7020.1  0.8153
 7024.5  0.8283
 7028.9  0.8392
 7033.2  0.8491
 7037.6  0.8578
 7042.0  0.8651
 7046.3  0.8726
 7050.7  0.8795
 7055.1  0.8853
 7059.4  0.8896
 7063.8  0.8942
 7068.2  0.8987
 7072.6  0.9018
 7076.9  0.9044
 7081.3  0.9064
 7085.7  0.9083
 7090.0  0.9103
 7094.4  0.9115
 7098.8  0.9118
 7103.2  0.9128
 7107.5  0.9126
 7111.9  0.9125
 7116.3  0.9126
 7120.7  0.9124
 7125.0  0.9119
 7129.4  0.9107
 7133.8  0.9096
 7138.2  0.9086
 7142.5  0.9075
 7146.9  0.9066
 7151.3  0.9054
 7155.7  0.9043
 7160.1  0.9034
 7164.4  0.9030
 7168.8  0.9023
 7173.2  0.9027
 7177.6  0.9027
 7182.0  0.9025
 7186.3  0.9031
 7190.7  0.9040
 7195.1  0.9046
 7199.5  0.9042
 7203.9  0.9052
 7208.2  0.9052
 7212.6  0.9056
 7217.0  0.9064
 7221.4  0.9065
 7225.8  0.9082
 7230.2  0.9083
 7234.5  0.9109
 7238.9  0.9114
 7243.3  0.9127
 7247.7  0.9147
 7252.1  0.9173
 7256.5  0.9183
 7260.8  0.9197
 7265.2  0.9215
 7269.6  0.9233
 7274.0  0.9241
 7278.4  0.9258
 7282.8  0.9269
 7287.2  0.9279
 7291.6  0.9284
 7296.0  0.9295
 7300.3  0.9295
 7304.7  0.9298
 7309.1  0.9301
 7313.5  0.9304
 7317.9  0.9313
 7322.3  0.9312
 7326.7  0.9311
 7331.1  0.9311
 7335.5  0.9304
 7339.9  0.9309
 7344.2  0.9308
 7348.6  0.9308
 7353.0  0.9302
 7357.4  0.9300
 7361.8  0.9302
 7366.2  0.9293
 7370.6  0.9290
 7375.0  0.9297
 7379.4  0.9293
 7383.8  0.9294
 7388.2  0.9291
 7392.6  0.9295
 7397.0  0.9297
 7401.4  0.9303
 7405.8  0.9301
 7410.2  0.9308
 7414.6  0.9310
 7419.0  0.9309
 7423.4  0.9309
 7427.8  0.9310
 7432.2  0.9309
 7436.6  0.9301
 7441.0  0.9299
 7445.4  0.9295
 7449.8  0.9291
 7454.2  0.9288
 7458.6  0.9287
 7463.0  0.9279
 7467.4  0.9283
 7471.8  0.9280
 7476.2  0.9268
 7480.6  0.9279
 7485.0  0.9280
 7489.4  0.9277
 7493.8  0.9281
 7498.2  0.9288
 7502.6  0.9284
 7507.0  0.9294
 7511.4  0.9287
 7515.8  0.9294
 7520.2  0.9300
 7524.6  0.9302
 7529.0  0.9302
 7533.4  0.9301
 7537.9  0.9298
 7542.3  0.9309
 7546.7  0.9315
 7551.1  0.9314
 7555.5  0.9320
 7559.9  0.9325
 7564.3  0.9333
 7568.7  0.9334
