# wavelength[angstrom]  transmittance
 7500.0  0.0022
 7480.0  0.0016
 7460.0  0.0011
 7440.0  0.0013
 7420.0  0.0018
 7400.0  0.0018
 7380.0  0.0014
 7360.0  0.0014
 7340.0  0.0016
 7320.0  0.0012
 7300.0  0.0005
 7280.0  0.0005
 7260.0  0.0003
 7240.0  0.0003
 7220.0  0.0002
 7200.0  0.0002
 7180.0  0.0000
 7160.0  0.0003
 7140.0  0.0009
 7120.0  0.0015
 7100.0  0.0033
 7080.0  0.0091
 7060.0  0.0245
 7040.0  0.0606
 7020.0  0.1334
 7000.0  0.2526
 6980.0  0.4083
 6960.0  0.5722
 6940.0  0.7122
 6920.0  0.8090
 6900.0  0.8603
 6880.0  0.8796
 6860.0  0.8844
 6840.0  0.8852
 6820.0  0.8889
 6800.0  0.8978
 6780.0  0.9053
 6760.0  0.9056
 6740.0  0.8983
 6720.0  0.8903
 6700.0  0.8882
 6680.0  0.8897
 6660.0  0.8920
 6640.0  0.8864
 6620.0  0.8716
 6600.0  0.8579
 6580.0  0.8521
 6560.0  0.8581
 6540.0  0.8744
 6520.0  0.8919
 6500.0  0.9021
 6480.0  0.9022
 6460.0  0.8957
 6440.0  0.8869
 6420.0  0.8835
 6400.0  0.8900
 6380.0  0.9017
 6360.0  0.9126
 6340.0  0.9195
 6320.0  0.9220
 6300.0  0.9213
 6280.0  0.9216
 6260.0  0.9217
 6240.0  0.9187
 6220.0  0.9158
 6200.0  0.9153
 6180.0  0.9171
 6160.0  0.9164
 6140.0  0.9107
 6120.0  0.9040
 6100.0  0.9022
 6080.0  0.9070
 6060.0  0.9116
 6040.0  0.9123
 6020.0  0.9053
 6000.0  0.8905
 5980.0  0.8738
 5960.0  0.8646
 5940.0  0.8698
 5920.0  0.8859
 5900.0  0.9039
 5880.0  0.9139
 5860.0  0.9122
 5840.0  0.9038
 5820.0  0.8955
 5800.0  0.8917
 5780.0  0.8958
 5760.0  0.9048
 5740.0  0.9122
 5720.0  0.9151
 5700.0  0.9152
 5680.0  0.9127
 5660.0  0.9075
 5640.0  0.8997
 5620.0  0.8858
 5600.0  0.8589
 5580.0  0.8223
 5560.0  0.7896
 5540.0  0.7655
 5520.0  0.7346
 5500.0  0.6631
 5480.0  0.5266
 5460.0  0.3489
 5440.0  0.1902
 5420.0  0.0872
 5400.0  0.0352
 5380.0  0.0128
 5360.0  0.0047
 5340.0  0.0023
 5320.0  0.0010
 5300.0  0.0006
 5280.0  0.0004
 5260.0  0.0002
 5240.0  0.0001
 5220.0  0.0000
 5200.0 -0.0000
 5180.0 -0.0001
 5160.0  0.0000
 5140.0  0.0004
 5120.0  0.0003
 5100.0  0.0002
 5080.0  0.0004
 5060.0  0.0000
 5040.0  0.0001
 5020.0  0.0004
 5000.0  0.0005
