# wavelength[angstrom]  transmittance
 9000.0  0.0012
 9000.5  0.0009
 9001.0  0.0008
 9001.5  0.0008
 9002.0  0.0009
 9002.5  0.0010
 9003.0  0.0009
 9003.5  0.0008
 9004.0  0.0009
 9004.5  0.0010
 9005.0  0.0012
 9005.5  0.0010
 9006.0  0.0010
 9006.5  0.0010
 9007.0  0.0012
 9007.5  0.0014
 9008.0  0.0012
 9008.5  0.0010
 9009.0  0.0010
 9009.5  0.0012
 9010.0  0.0014
 9010.5  0.0012
 9011.0  0.0011
 9011.5  0.0012
 9012.0  0.0014
 9012.5  0.0016
 9013.0  0.0013
 9013.5  0.0012
 9014.0  0.0011
 9014.5  0.0012
 9015.0  0.0014
 9015.5  0.0012
 9016.0  0.0011
 9016.5  0.0012
 9017.0  0.0013
 9017.5  0.0015
 9018.0  0.0013
 9018.5  0.0011
 9019.0  0.0011
 9019.5  0.0013
 9020.0  0.0015
 9020.5  0.0012
 9021.0  0.0010
 9021.5  0.0010
 9022.0  0.0012
 9022.5  0.0015
 9023.0  0.0014
 9023.5  0.0014
 9024.0  0.0015
 9024.5  0.0017
 9025.0  0.0021
 9025.5  0.0018
 9026.0  0.0016
 9026.5  0.0015
 9027.0  0.0014
 9027.5  0.0015
 9028.0  0.0014
 9028.5  0.0014
 9029.0  0.0015
 9029.5  0.0017
 9030.0  0.0020
 9030.5  0.0017
 9031.0  0.0015
 9031.5  0.0014
 9032.0  0.0015
 9032.5  0.0016
 9033.0  0.0014
 9033.5  0.0013
 9034.0  0.0013
 9034.5  0.0015
 9035.0  0.0017
 9035.5  0.0014
 9036.0  0.0013
 9036.5  0.0014
 9037.0  0.0015
 9037.5  0.0018
 9038.0  0.0016
 9038.5  0.0014
 9039.0  0.0015
 9039.5  0.0016
 9040.0  0.0019
 9040.5  0.0017
 9041.0  0.0016
 9041.5  0.0016
 9042.0  0.0018
 9042.5  0.0020
 9043.0  0.0018
 9043.5  0.0017
 9044.0  0.0017
 9044.5  0.0018
 9045.0  0.0020
 9045.5  0.0017
 9046.0  0.0016
 9046.5  0.0015
 9047.0  0.0016
 9047.5  0.0019
 9048.0  0.0017
 9048.5  0.0017
 9049.0  0.0017
 9049.5  0.0019
 9050.0  0.0022
 9050.5  0.0020
 9051.0  0.0019
 9051.5  0.0019
 9052.0  0.0020
 9052.5  0.0022
 9053.0  0.0020
 9053.5  0.0018
 9054.0  0.0016
 9054.5  0.0016
 9055.0  0.0017
 9055.5  0.0016
 9056.0  0.0016
 9056.5  0.0017
 9057.0  0.0019
 9057.5  0.0022
 9058.0  0.0021
 9058.5  0.0021
 9059.0  0.0022
 9059.5  0.0024
 9060.0  0.0027
 9060.5  0.0026
 9061.0  0.0026
 9061.5  0.0027
 9062.0  0.0028
 9062.5  0.0029
 9063.0  0.0028
