# wavelength[angstrom]  transmittance
 3500.0  0.0019
 3510.0  0.0005
 3520.0  0.0007
 3530.0  0.0010
 3540.0  0.0003
 3550.0  0.0007
 3560.0  0.0004
 3570.0  0.0004
 3580.0 -0.0004
 3590.0 -0.0006
 3600.0  0.0007
 3610.0  0.0009
 3620.0  0.0010
 3630.0  0.0016
 3640.0  0.0014
 3650.0  0.0012
 3660.0  0.0010
 3670.0  0.0012
 3680.0  0.0011
 3690.0  0.0008
 3700.0  0.0007
 3710.0  0.0006
 3720.0  0.0010
 3730.0  0.0010
 3740.0  0.0007
 3750.0  0.0003
 3760.0  0.0003
 3770.0  0.0004
 3780.0  0.0003
 3790.0  0.0005
 3800.0  0.0004
 3810.0  0.0004
 3820.0  0.0004
 3830.0  0.0004
 3840.0  0.0005
 3850.0  0.0004
 3860.0  0.0004
 3870.0  0.0006
 3880.0  0.0008
 3890.0  0.0007
 3900.0  0.0007
 3910.0  0.0013
 3920.0  0.0023
 3930.0  0.0051
 3940.0  0.0124
 3950.0  0.0287
 3960.0  0.0620
 3970.0  0.1257
 3980.0  0.2431
 3990.0  0.4313
 4000.0  0.6584
 4010.0  0.8429
 4020.0  0.9365
 4030.0  0.9628
 4040.0  0.9659
 4050.0  0.9669
 4060.0  0.9687
 4070.0  0.9688
 4080.0  0.9734
 4090.0  0.9746
 4100.0  0.9761
 4110.0  0.9761
 4120.0  0.9762
 4130.0  0.9720
 4140.0  0.9714
 4150.0  0.9732
 4160.0  0.9738
 4170.0  0.9736
 4180.0  0.9753
 4190.0  0.9764
 4200.0  0.9751
 4210.0  0.9720
 4220.0  0.9724
 4230.0  0.9762
 4240.0  0.9767
 4250.0  0.9795
 4260.0  0.9744
 4270.0  0.9742
 4280.0  0.9704
 4290.0  0.9685
 4300.0  0.9725
 4310.0  0.9745
 4320.0  0.9768
 4330.0  0.9767
 4340.0  0.9762
 4350.0  0.9780
 4360.0  0.9775
 4370.0  0.9756
 4380.0  0.9745
 4390.0  0.9752
 4400.0  0.9759
 4410.0  0.9762
 4420.0  0.9751
 4430.0  0.9763
 4440.0  0.9762
 4450.0  0.9769
 4460.0  0.9768
 4470.0  0.9759
 4480.0  0.9771
 4490.0  0.9780
 4500.0  0.9765
 4510.0  0.9756
 4520.0  0.9738
 4530.0  0.9745
 4540.0  0.9754
 4550.0  0.9731
 4560.0  0.9747
 4570.0  0.9755
 4580.0  0.9756
 4590.0  0.9742
 4600.0  0.9748
 4610.0  0.9737
 4620.0  0.9734
 4630.0  0.9732
 4640.0  0.9717
 4650.0  0.9698
 4660.0  0.9701
 4670.0  0.9709
 4680.0  0.9708
 4690.0  0.9711
 4700.0  0.9712
 4710.0  0.9721
 4720.0  0.9702
 4730.0  0.9694
 4740.0  0.9667
 4750.0  0.9639
 4760.0  0.9647
 4770.0  0.9654
 4780.0  0.9670
 4790.0  0.9686
 4800.0  0.9677
 4810.0  0.9666
 4820.0  0.9676
 4830.0  0.9659
 4840.0  0.9653
 4850.0  0.9663
 4860.0  0.9652
 4870.0  0.9652
 4880.0  0.9682
 4890.0  0.9671
 4900.0  0.9667
 4910.0  0.9651
 4920.0  0.9621
 4930.0  0.9621
 4940.0  0.9602
 4950.0  0.9608
 4960.0  0.9611
 4970.0  0.9628
 4980.0  0.9622
 4990.0  0.9652
 5000.0  0.9676
 5010.0  0.9674
 5020.0  0.9657
 5030.0  0.9635
 5040.0  0.9617
 5050.0  0.9608
 5060.0  0.9609
 5070.0  0.9619
 5080.0  0.9647
 5090.0  0.9655
 5100.0  0.9655
 5110.0  0.9662
 5120.0  0.9646
 5130.0  0.9632
 5140.0  0.9623
 5150.0  0.9602
 5160.0  0.9601
 5170.0  0.9595
 5180.0  0.9595
 5190.0  0.9603
 5200.0  0.9611
 5210.0  0.9621
 5220.0  0.9620
 5230.0  0.9604
 5240.0  0.9604
 5250.0  0.9584
 5260.0  0.9583
 5270.0  0.9603
 5280.0  0.9612
 5290.0  0.9610
 5300.0  0.9598
 5310.0  0.9592
 5320.0  0.9577
 5330.0  0.9585
 5340.0  0.9602
 5350.0  0.9634
 5360.0  0.9630
 5370.0  0.9634
 5380.0  0.9631
 5390.0  0.9612
 5400.0  0.9574
 5410.0  0.9456
 5420.0  0.9150
 5430.0  0.8543
 5440.0  0.7522
 5450.0  0.6176
 5460.0  0.4679
 5470.0  0.3288
 5480.0  0.2198
 5490.0  0.1411
 5500.0  0.0874
 5510.0  0.0518
 5520.0  0.0290
 5530.0  0.0157
 5540.0  0.0086
 5550.0  0.0049
 5560.0  0.0030
 5570.0  0.0021
 5580.0  0.0015
 5590.0  0.0012
 5600.0  0.0010
 5610.0  0.0008
 5620.0  0.0006
 5630.0  0.0005
 5640.0  0.0004
 5650.0  0.0004
 5660.0  0.0003
 5670.0  0.0004
 5680.0  0.0003
 5690.0  0.0003
 5700.0  0.0003
 5710.0  0.0003
 5720.0  0.0003
 5730.0  0.0002
 5740.0  0.0003
 5750.0  0.0003
 5760.0  0.0003
 5770.0  0.0002
 5780.0  0.0002
 5790.0  0.0003
 5800.0  0.0003
 5810.0  0.0002
 5820.0  0.0002
 5830.0  0.0003
 5840.0  0.0003
 5850.0  0.0003
 5860.0  0.0002
 5870.0  0.0002
 5880.0  0.0002
 5890.0  0.0002
 5900.0  0.0002
 5910.0  0.0003
 5920.0  0.0003
 5930.0  0.0003
 5940.0  0.0003
 5950.0  0.0003
 5960.0  0.0003
 5970.0  0.0003
 5980.0  0.0003
 5990.0  0.0003
 6000.0  0.0003
