# wavelength[angstrom]  transmittance
 5001.9  0.0098
 5006.1  0.0097
 5010.3  0.0098
 5014.4  0.0098
 5018.6  0.0098
 5022.8  0.0097
 5027.0  0.0097
 5031.1  0.0097
 5035.3  0.0098
 5039.5  0.0098
 5043.7  0.0100
 5047.9  0.0099
 5052.1  0.0098
 5056.2  0.0098
 5060.4  0.0098
 5064.6  0.0098
 5068.8  0.0099
 5073.0  0.0098
 5077.2  0.0098
 5081.4  0.0098
 5085.5  0.0098
 5089.7  0.0098
 5093.9  0.0098
 5098.1  0.0098
 5102.3  0.0099
 5106.5  0.0099
 5110.7  0.0098
 5114.9  0.0100
 5119.0  0.0097
 5123.2  0.0099
 5127.4  0.0098
 5131.6  0.0099
 5135.8  0.0099
 5140.0  0.0099
 5144.2  0.0099
 5148.4  0.0099
 5152.6  0.0099
 5156.8  0.0099
 5161.0  0.0099
 5165.2  0.0100
 5169.4  0.0101
 5173.6  0.0101
 5177.7  0.0101
 5181.9  0.0101
 5186.1  0.0100
 5190.3  0.0101
 5194.5  0.0101
 5198.7  0.0101
 5202.9  0.0102
 5207.1  0.0102
 5211.3  0.0103
 5215.5  0.0103
 5219.7  0.0104
 5223.9  0.0105
 5228.1  0.0106
 5232.3  0.0106
 5236.5  0.0106
 5240.7  0.0107
 5244.9  0.0108
 5249.1  0.0109
 5253.3  0.0108
 5257.6  0.0110
 5261.8  0.0111
 5266.0  0.0111
 5270.2  0.0112
 5274.4  0.0114
 5278.6  0.0115
 5282.8  0.0117
 5287.0  0.0118
 5291.2  0.0119
 5295.4  0.0122
 5299.6  0.0125
 5303.8  0.0128
 5308.0  0.0132
 5312.2  0.0137
 5316.5  0.0141
 5320.7  0.0147
 5324.9  0.0155
 5329.1  0.0162
 5333.3  0.0169
 5337.5  0.0179
 5341.7  0.0188
 5345.9  0.0199
 5350.2  0.0212
 5354.4  0.0224
 5358.6  0.0237
 5362.8  0.0253
 5367.0  0.0271
 5371.2  0.0292
 5375.4  0.0316
 5379.7  0.0345
 5383.9  0.0380
 5388.1  0.0422
 5392.3  0.0474
 5396.5  0.0536
 5400.8  0.0611
 5405.0  0.0700
 5409.2  0.0804
 5413.4  0.0926
 5417.6  0.1067
 5421.9  0.1225
 5426.1  0.1404
 5430.3  0.1603
 5434.5  0.1824
 5438.7  0.2065
 5443.0  0.2331
 5447.2  0.2623
 5451.4  0.2943
 5455.6  0.3287
 5459.9  0.3664
 5464.1  0.4073
 5468.3  0.4512
 5472.5  0.4974
 5476.8  0.5459
 5481.0  0.5950
 5485.2  0.6451
 5489.4  0.6938
 5493.7  0.7401
 5497.9  0.7830
 5502.1  0.8219
 5506.4  0.8557
 5510.6  0.8832
 5514.8  0.9058
 5519.1  0.9228
 5523.3  0.9359
 5527.5  0.9461
 5531.7  0.9525
 5536.0  0.9571
 5540.2  0.9606
 5544.4  0.9639
 5548.7  0.9659
 5552.9  0.9671
 5557.1  0.9684
 5561.4  0.9688
 5565.6  0.9700
 5569.9  0.9696
 5574.1  0.9695
 5578.3  0.9704
 5582.6  0.9705
 5586.8  0.9705
 5591.0  0.9710
 5595.3  0.9714
 5599.5  0.9717
 5603.8  0.9720
 5608.0  0.9728
 5612.2  0.9735
 5616.5  0.9738
 5620.7  0.9739
 5625.0  0.9745
 5629.2  0.9744
 5633.4  0.9742
 5637.7  0.9746
 5641.9  0.9740
 5646.2  0.9741
 5650.4  0.9740
 5654.7  0.9739
 5658.9  0.9737
 5663.1  0.9737
 5667.4  0.9737
 5671.6  0.9736
 5675.9  0.9731
 5680.1  0.9734
 5684.4  0.9727
 5688.6  0.9722
 5692.9  0.9724
 5697.1  0.9722
 5701.4  0.9728
 5705.6  0.9727
 5709.9  0.9726
 5714.1  0.9731
 5718.4  0.9735
 5722.6  0.9739
 5726.9  0.9744
 5731.1  0.9750
 5735.4  0.9753
 5739.6  0.9761
 5743.9  0.9764
 5748.1  0.9770
 5752.4  0.9768
 5756.6  0.9769
 5760.9  0.9770
 5765.2  0.9769
 5769.4  0.9770
 5773.7  0.9770
 5777.9  0.9767
 5782.2  0.9763
 5786.4  0.9768
 5790.7  0.9765
 5794.9  0.9767
 5799.2  0.9763
 5803.5  0.9765
 5807.7  0.9766
 5812.0  0.9764
 5816.2  0.9766
 5820.5  0.9767
 5824.8  0.9771
 5829.0  0.9775
 5833.3  0.9775
 5837.5  0.9776
 5841.8  0.9778
 5846.1  0.9781
 5850.3  0.9779
 5854.6  0.9778
 5858.9  0.9777
 5863.1  0.9769
 5867.4  0.9767
 5871.7  0.9762
 5875.9  0.9756
 5880.2  0.9759
 5884.5  0.9757
 5888.7  0.9757
 5893.0  0.9751
 5897.3  0.9757
 5901.5  0.9759
 5905.8  0.9760
 5910.1  0.9763
 5914.3  0.9768
 5918.6  0.9765
 5922.9  0.9769
 5927.1  0.9774
 5931.4  0.9772
 5935.7  0.9767
 5940.0  0.9765
 5944.2  0.9768
 5948.5  0.9765
 5952.8  0.9766
 5957.0  0.9763
 5961.3  0.9755
 5965.6  0.9756
 5969.9  0.9755
 5974.1  0.9755
 5978.4  0.9755
 5982.7  0.9758
 5987.0  0.9758
 5991.3  0.9759
 5995.5  0.9762
 5999.8  0.9764
 6004.1  0.9769
 6008.4  0.9774
 6012.6  0.9773
 6016.9  0.9775
 6021.2  0.9776
 6025.5  0.9775
 6029.8  0.9772
 6034.0  0.9769
 6038.3  0.9769
 6042.6  0.9766
 6046.9  0.9761
 6051.2  0.9755
 6055.4  0.9758
 6059.7  0.9754
 6064.0  0.9753
 6068.3  0.9754
 6072.6  0.9757
 6076.9  0.9757
 6081.2  0.9762
 6085.4  0.9766
 6089.7  0.9767
 6094.0  0.9772
 6098.3  0.9777
 6102.6  0.9776
 6106.9  0.9781
 6111.2  0.9777
 6115.4  0.9781
 6119.7  0.9776
 6124.0  0.9773
 6128.3  0.9775
 6132.6  0.9770
 6136.9  0.9764
 6141.2  0.9769
 6145.5  0.9763
 6149.8  0.9763
 6154.1  0.9764
 6158.4  0.9768
 6162.6  0.9772
 6166.9  0.9772
 6171.2  0.9773
 6175.5  0.9777
 6179.8  0.9785
 6184.1  0.9782
 6188.4  0.9788
 6192.7  0.9788
 6197.0  0.9784
 6201.3  0.9781
 6205.6  0.9786
 6209.9  0.9784
 6214.2  0.9776
 6218.5  0.9776
 6222.8  0.9776
 6227.1  0.9772
 6231.4  0.9771
 6235.7  0.9769
 6240.0  0.9779
 6244.3  0.9777
 6248.6  0.9774
 6252.9  0.9778
 6257.2  0.9771
 6261.5  0.9776
 6265.8  0.9776
 6270.1  0.9773
 6274.4  0.9775
 6278.7  0.9768
 6283.0  0.9769
 6287.3  0.9768
 6291.6  0.9760
 6295.9  0.9766
 6300.2  0.9763
 6304.5  0.9765
 6308.8  0.9769
 6313.1  0.9771
 6317.4  0.9777
 6321.7  0.9774
 6326.1  0.9779
 6330.4  0.9778
 6334.7  0.9778
 6339.0  0.9780
 6343.3  0.9777
 6347.6  0.9774
 6351.9  0.9775
 6356.2  0.9768
 6360.5  0.9765
 6364.8  0.9759
 6369.2  0.9761
 6373.5  0.9763
 6377.8  0.9757
 6382.1  0.9760
 6386.4  0.9762
 6390.7  0.9768
 6395.0  0.9773
 6399.3  0.9775
 6403.7  0.9775
 6408.0  0.9781
 6412.3  0.9782
 6416.6  0.9788
 6420.9  0.9787
 6425.2  0.9789
 6429.6  0.9789
 6433.9  0.9783
 6438.2  0.9785
 6442.5  0.9782
 6446.8  0.9778
 6451.1  0.9784
 6455.5  0.9780
 6459.8  0.9778
 6464.1  0.9782
 6468.4  0.9781
 6472.7  0.9782
 6477.1  0.9786
 6481.4  0.9789
 6485.7  0.9791
 6490.0  0.9798
 6494.4  0.9798
 6498.7  0.9803
 6503.0  0.9803
 6507.3  0.9805
 6511.6  0.9810
 6516.0  0.9811
 6520.3  0.9809
 6524.6  0.9815
 6528.9  0.9812
 6533.3  0.9817
 6537.6  0.9813
 6541.9  0.9816
 6546.3  0.9814
 6550.6  0.9816
 6554.9  0.9813
 6559.2  0.9810
 6563.6  0.9816
 6567.9  0.9810
 6572.2  0.9808
 6576.6  0.9809
 6580.9  0.9805
 6585.2  0.9803
 6589.5  0.9802
 6593.9  0.9801
 6598.2  0.9806
 6602.5  0.9801
 6606.9  0.9803
 6611.2  0.9801
 6615.5  0.9807
 6619.9  0.9803
 6624.2  0.9806
 6628.5  0.9814
 6632.9  0.9812
 6637.2  0.9814
 6641.5  0.9817
 6645.9  0.9812
 6650.2  0.9809
 6654.6  0.9812
 6658.9  0.9806
 6663.2  0.9811
 6667.6  0.9803
 6671.9  0.9797
 6676.2  0.9793
 6680.6  0.9798
 6684.9  0.9791
 6689.3  0.9794
 6693.6  0.9795
 6697.9  0.9797
 6702.3  0.9795
 6706.6  0.9802
 6711.0  0.9799
 6715.3  0.9804
 6719.6  0.9805
 6724.0  0.9803
 6728.3  0.9805
 6732.7  0.9807
 6737.0  0.9806
 6741.4  0.9805
