# wavelength[angstrom]  transmittance
 8160.0  0.0081
 8180.0  0.0081
 8200.0  0.0057
 8220.0  0.0029
 8240.0 -0.0000
 8260.0 -0.0012
 8280.0 -0.0010
 8300.0  0.0014
 8320.0  0.0032
 8340.0  0.0049
 8360.0  0.0098
 8380.0  0.0157
 8400.0  0.0398
 8420.0  0.0663
 8440.0  0.1023
 8460.0  0.1619
 8480.0  0.2406
 8500.0  0.3427
 8520.0  0.4614
 8540.0  0.5854
 8560.0  0.7010
 8580.0  0.8017
 8600.0  0.8758
 8620.0  0.9283
 8640.0  0.9593
 8660.0  0.9730
 8680.0  0.9828
 8700.0  0.9846
 8720.0  0.9853
 8740.0  0.9876
 8760.0  0.9876
 8780.0  0.9889
 8800.0  0.9883
 8820.0  0.9872
 8840.0  0.9869
 8860.0  0.9881
 8880.0  0.9881
 8900.0  0.9873
 8920.0  0.9861
 8940.0  0.9839
 8960.0  0.9844
 8980.0  0.9853
 9000.0  0.9858
 9020.0  0.9881
 9040.0  0.9854
 9060.0  0.9836
 9080.0  0.9844
 9100.0  0.9811
 9120.0  0.9805
 9140.0  0.9773
 9160.0  0.9691
 9180.0  0.9565
 9200.0  0.9340
 9220.0  0.8970
 9240.0  0.8419
 9260.0  0.7657
 9280.0  0.6679
 9300.0  0.5563
 9320.0  0.4376
 9340.0  0.3247
 9360.0  0.2262
 9380.0  0.1475
 9400.0  0.0911
 9420.0  0.0540
 9440.0  0.0316
 9460.0  0.0192
 9480.0  0.0127
 9500.0  0.0078
 9520.0  0.0052
 9540.0  0.0032
 9560.0  0.0010
 9580.0  0.0006
 9600.0 -0.0006
 9620.0 -0.0007
 9640.0 -0.0005
 9660.0 -0.0008
